"accepted","author","kingdom","name","rank","base_url","IPNI_ID","search_name"
1,"(Vahl) Pillans","Plantae","Phylica polifolia","Species","/taxon/urn:lsid:ipni.org:","717900-1","Phylica polifolia"
1,"(Roxb.) Bremek.","Plantae","Nesohedyotis arborea","Species","/taxon/urn:lsid:ipni.org:","757501-1","Nesohedyotis arborea"
1,"Small","Plantae","Asimina tetramera","Species","/taxon/urn:lsid:ipni.org:","21385-2","Asimina tetramera"
1,"Schweinf. ex Balf.f.","Plantae","Dirachma socotrana","Species","/taxon/urn:lsid:ipni.org:","372126-1","Dirachma socotrana"
1,"N.E.Br.","Plantae","Euphorbia wakefieldii","Species","/taxon/urn:lsid:ipni.org:","348723-1","Euphorbia wakefieldii"
1,"(G.Don) Sol. ex Lindl.","Plantae","Clianthus puniceus","Species","/taxon/urn:lsid:ipni.org:","486457-1","Clianthus puniceus"
1,"Hemsl.","Plantae","Cordeauxia edulis","Species","/taxon/urn:lsid:ipni.org:","487135-1","Cordeauxia edulis"
1,"(Harms) Brenan","Plantae","Gigasiphon macrosiphon","Species","/taxon/urn:lsid:ipni.org:","496529-1","Gigasiphon macrosiphon"
1,"Baill.","Plantae","Adansonia grandidieri","Species","/taxon/urn:lsid:ipni.org:","558630-1","Adansonia grandidieri"
1,"H.Perrier","Plantae","Adansonia suarezensis","Species","/taxon/urn:lsid:ipni.org:","112193-1","Adansonia suarezensis"
1,"(Phil.) Skottsb.","Plantae","Sophora fernandeziana","Species","/taxon/urn:lsid:ipni.org:","518830-1","Sophora fernandeziana"
1,"(Phil.) Skottsb.","Plantae","Sophora masafuerana","Species","/taxon/urn:lsid:ipni.org:","518885-1","Sophora masafuerana"
1,"(Phil.) Skottsb.","Plantae","Sophora toromiro","Species","/taxon/urn:lsid:ipni.org:","518957-1","Sophora toromiro"
1,"Endl.","Plantae","Streblorrhiza speciosa","Species","/taxon/urn:lsid:ipni.org:","519569-1","Streblorrhiza speciosa"
1,"(L.) L.","Plantae","Dracaena draco","Species","/taxon/urn:lsid:ipni.org:","534171-1","Dracaena draco"
1,"Heuglin ex Kotschy & Peyr.","Plantae","Dracaena ombet","Species","/taxon/urn:lsid:ipni.org:","534308-1","Dracaena ombet"
1,"Rock","Plantae","Hibiscadelphus giffardianus","Species","/taxon/urn:lsid:ipni.org:","559885-1","Hibiscadelphus giffardianus"
1,"Rock","Plantae","Hibiscadelphus wilderianus","Species","/taxon/urn:lsid:ipni.org:","559888-1","Hibiscadelphus wilderianus"
1,"Fosberg & Sachet","Plantae","Lebronnecia kokioides","Species","/taxon/urn:lsid:ipni.org:","561302-1","Lebronnecia kokioides"
1,"Schweinf. ex Balf.f.","Plantae","Dorstenia gigas","Species","/taxon/urn:lsid:ipni.org:","851558-1","Dorstenia gigas"
1,"Becc.","Plantae","Jubaeopsis caffra","Species","/taxon/urn:lsid:ipni.org:","667641-1","Jubaeopsis caffra"
1,"(Mart.) Württemb. ex H.Wendl.","Plantae","Medemia argun","Species","/taxon/urn:lsid:ipni.org:","668220-1","Medemia argun"
1,"(Chiov.) J.Dransf. & N.W.Uhl","Plantae","Livistona carinensis","Species","/taxon/urn:lsid:ipni.org:","912761-1","Livistona carinensis"
1,"Balf.f.","Plantae","Punica protopunica","Species","/taxon/urn:lsid:ipni.org:","554132-1","Punica protopunica"
1,"(Hoyle & Leakey) Kokwaro","Plantae","Vepris glandulosa","Species","/taxon/urn:lsid:ipni.org:","775490-1","Vepris glandulosa"
1,"Phil.","Plantae","Santalum fernandezianum","Species","/taxon/urn:lsid:ipni.org:","227423-2","Santalum fernandezianum"
1,"Tutcher","Plantae","Camellia crapnelliana","Species","/taxon/urn:lsid:ipni.org:","828510-1","Camellia crapnelliana"
1,"Marshall","Plantae","Franklinia alatamaha","Species","/taxon/urn:lsid:ipni.org:","105657-2","Franklinia alatamaha"
1,"A.H.Gentry","Plantae","Freziera forerorum","Species","/taxon/urn:lsid:ipni.org:","105993-2","Freziera forerorum"
1,"Planch.","Plantae","Ulmus wallichiana","Species","/taxon/urn:lsid:ipni.org:","856961-1","Ulmus wallichiana"
1,"(Balf.f.) Radcl.-Sm.","Plantae","Lannea transulta","Species","/taxon/urn:lsid:ipni.org:","69813-1","Lannea transulta"
1,"(Balf.f.) Moffett","Plantae","Searsia thyrsiflora","Species","/taxon/urn:lsid:ipni.org:","77088506-1","Searsia thyrsiflora"
1,"Balf.f.","Plantae","Cordia obovata","Species","/taxon/urn:lsid:ipni.org:","114402-1","Cordia obovata"
1,"Balf.f.","Plantae","Boswellia ameero","Species","/taxon/urn:lsid:ipni.org:","127033-1","Boswellia ameero"
1,"Balf.f.","Plantae","Boswellia elongata","Species","/taxon/urn:lsid:ipni.org:","127042-1","Boswellia elongata"
1,"Balf.f.","Plantae","Boswellia socotrana","Species","/taxon/urn:lsid:ipni.org:","127068-1","Boswellia socotrana"
1,"(Balf.f.) Engl.","Plantae","Commiphora planifrons","Species","/taxon/urn:lsid:ipni.org:","127763-1","Commiphora planifrons"
1,"(Balf.f.) Engl.","Plantae","Commiphora socotrana","Species","/taxon/urn:lsid:ipni.org:","127817-1","Commiphora socotrana"
1,"Balf.f.","Plantae","Croton socotranus","Species","/taxon/urn:lsid:ipni.org:","343498-1","Croton socotranus"
1,"Balf.f.","Plantae","Croton sulcifructus","Species","/taxon/urn:lsid:ipni.org:","343585-1","Croton sulcifructus"
1,"Balf.f.","Plantae","Jatropha unicostata","Species","/taxon/urn:lsid:ipni.org:","350504-1","Jatropha unicostata"
1,"Balf.f.","Plantae","Acacia pennivenia","Species","/taxon/urn:lsid:ipni.org:","471113-1","Acacia pennivenia"
1,"Balf.f.","Plantae","Dracaena cinnabari","Species","/taxon/urn:lsid:ipni.org:","534145-1","Dracaena cinnabari"
1,"Oliv.","Plantae","Acridocarpus socotranus","Species","/taxon/urn:lsid:ipni.org:","555372-1","Acridocarpus socotranus"
1,"Balf.f.","Plantae","Grewia turbinata","Species","/taxon/urn:lsid:ipni.org:","834612-1","Grewia turbinata"
1,"Balf.f.","Plantae","Clerodendrum galeatum","Species","/taxon/urn:lsid:ipni.org:","862092-1","Clerodendrum galeatum"
1,"Balf.f.","Plantae","Clerodendrum leucophloeum","Species","/taxon/urn:lsid:ipni.org:","862199-1","Clerodendrum leucophloeum"
1,"(Drake) Drake","Plantae","Alluaudia procera","Species","/taxon/urn:lsid:ipni.org:","316435-1","Alluaudia procera"
1,"Merr.","Plantae","Serianthes nelsonii","Species","/taxon/urn:lsid:ipni.org:","518393-1","Serianthes nelsonii"
1,"(Engl. ex De Wild.) Prance & F.White","Plantae","Dactyladenia cinerea","Species","/taxon/urn:lsid:ipni.org:","167971-1","Dactyladenia cinerea"
1,"(Harms) J.Léonard","Plantae","Gilbertiodendron pachyanthum","Species","/taxon/urn:lsid:ipni.org:","496550-1","Gilbertiodendron pachyanthum"
1,"Brenan","Plantae","Medusandra richardsiana","Species","/taxon/urn:lsid:ipni.org:","565408-1","Medusandra richardsiana"
1,"Jacq.-Fél.","Plantae","Warneckea wildeana","Species","/taxon/urn:lsid:ipni.org:","576929-1","Warneckea wildeana"
1,"Letouzey","Plantae","Balsamocitrus camerunensis","Species","/taxon/urn:lsid:ipni.org:","771464-1","Balsamocitrus camerunensis"
1,"A.Stewart","Plantae","Scalesia cordata","Species","/taxon/urn:lsid:ipni.org:","228714-2","Scalesia cordata"
1,"Hook.f.","Plantae","Scalesia pedunculata","Species","/taxon/urn:lsid:ipni.org:","317737-2","Scalesia pedunculata"
1,"Andersson","Plantae","Lippia salicifolia","Species","/taxon/urn:lsid:ipni.org:","863812-1","Lippia salicifolia"
1,"(Benth.) Benth.","Plantae","Cuminia eriantha","Species","/taxon/urn:lsid:ipni.org:","446294-1","Cuminia eriantha"
1,"(Hook. & Arn.) Skottsb.","Plantae","Coprosma pyrifolia","Species","/taxon/urn:lsid:ipni.org:","747486-1","Coprosma pyrifolia"
1,"Fosberg","Plantae","Coprosma oliveri","Species","/taxon/urn:lsid:ipni.org:","65053-2","Coprosma oliveri"
1,"Skottsb.","Plantae","Fagara externa","Species","/taxon/urn:lsid:ipni.org:","103000-2","Fagara externa"
1,"(Phil.) B.L.Rob.","Plantae","Rhaphithamnus venustus","Species","/taxon/urn:lsid:ipni.org:","219095-2","Rhaphithamnus venustus"
1,"Phil.","Plantae","Drimys confertifolia","Species","/taxon/urn:lsid:ipni.org:","84099-2","Drimys confertifolia"
1,"(F.Br.) Lowry & G.M.Plunkett","Plantae","Polyscias marchionensis","Species","/taxon/urn:lsid:ipni.org:","77107184-1","Polyscias marchionensis"
1,"F.Br.","Plantae","Cyrtandra feaniana","Species","/taxon/urn:lsid:ipni.org:","379494-1","Cyrtandra feaniana"
1,"F.Br.","Plantae","Hernandia nukuhivensis","Species","/taxon/urn:lsid:ipni.org:","430811-1","Hernandia nukuhivensis"
1,"F.Br.","Plantae","Alphitonia marquesensis","Species","/taxon/urn:lsid:ipni.org:","716626-1","Alphitonia marquesensis"
1,"F.Br.","Plantae","Ixora marquesensis","Species","/taxon/urn:lsid:ipni.org:","754183-1","Ixora marquesensis"
1,"Fosberg","Plantae","Psychotria adamsonii","Species","/taxon/urn:lsid:ipni.org:","761254-1","Psychotria adamsonii"
1,"F.Br.","Plantae","Allophylus marquesensis","Species","/taxon/urn:lsid:ipni.org:","781848-1","Allophylus marquesensis"
1,"(Lojac.) Mattei","Plantae","Abies nebrodensis","Species","/taxon/urn:lsid:ipni.org:","676593-1","Abies nebrodensis"
1,"Kirk","Plantae","Pseudopanax gilliesii","Species","/taxon/urn:lsid:ipni.org:","91858-1","Pseudopanax gilliesii"
1,"W.R.B.Oliv.","Plantae","Brachyglottis arborescens","Species","/taxon/urn:lsid:ipni.org:","186044-1","Brachyglottis arborescens"
1,"G.T.S.Baylis","Plantae","Elingamita johnsonii","Species","/taxon/urn:lsid:ipni.org:","588281-1","Elingamita johnsonii"
1,"Allan","Plantae","Myrsine oliveri","Species","/taxon/urn:lsid:ipni.org:","589218-1","Myrsine oliveri"
1,"Cheeseman","Plantae","Pittosporum fairchildii","Species","/taxon/urn:lsid:ipni.org:","684459-1","Pittosporum fairchildii"
1,"Kirk","Plantae","Corokia macrocarpa","Species","/taxon/urn:lsid:ipni.org:","271716-1","Corokia macrocarpa"
1,"(Hook.f. ex Müll.Arg.) G.Nicholson","Plantae","Homalanthus polyandrus","Species","/taxon/urn:lsid:ipni.org:","350036-1","Homalanthus polyandrus"
1,"Kirk","Plantae","Pseudopanax ferox","Species","/taxon/urn:lsid:ipni.org:","91856-1","Pseudopanax ferox"
1,"(Salisb.) Franco","Plantae","Araucaria heterophylla","Species","/taxon/urn:lsid:ipni.org:","676669-1","Araucaria heterophylla"
1,"Marchand","Plantae","Campnosperma seychellarum","Species","/taxon/urn:lsid:ipni.org:","69392-1","Campnosperma seychellarum"
1,"Seem.","Plantae","Colea seychellarum","Species","/taxon/urn:lsid:ipni.org:","109282-1","Colea seychellarum"
1,"(Baill.) Gilg","Plantae","Dillenia ferruginea","Species","/taxon/urn:lsid:ipni.org:","316669-1","Dillenia ferruginea"
1,"O.E.Schulz","Plantae","Erythroxylum sechellarum","Species","/taxon/urn:lsid:ipni.org:","337045-1","Erythroxylum sechellarum"
1,"Hemsl.","Plantae","Excoecaria benthamiana","Species","/taxon/urn:lsid:ipni.org:","348822-1","Excoecaria benthamiana"
1,"(Baker) A.J.Scott","Plantae","Syzygium wrightii","Species","/taxon/urn:lsid:ipni.org:","602417-1","Syzygium wrightii"
1,"Hemsl.","Plantae","Grisollea thomassetii","Species","/taxon/urn:lsid:ipni.org:","607828-1","Grisollea thomassetii"
1,"Martelli","Plantae","Pandanus balfourii","Species","/taxon/urn:lsid:ipni.org:","670734-1","Pandanus balfourii"
1,"(Balf.f.) Callm. & Chassot","Plantae","Martellidendron hornei","Species","/taxon/urn:lsid:ipni.org:","50425868-2","Martellidendron hornei"
1,"Balf.f.","Plantae","Pandanus multispicatus","Species","/taxon/urn:lsid:ipni.org:","671243-1","Pandanus multispicatus"
1,"Balf.f.","Plantae","Pandanus sechellarum","Species","/taxon/urn:lsid:ipni.org:","671472-1","Pandanus sechellarum"
1,"Baker","Plantae","Craterispermum microdon","Species","/taxon/urn:lsid:ipni.org:","747813-1","Craterispermum microdon"
1,"Baker","Plantae","Ixora pudica","Species","/taxon/urn:lsid:ipni.org:","754368-1","Ixora pudica"
1,"(E.P.Wright) Keay","Plantae","Rothmannia annae","Species","/taxon/urn:lsid:ipni.org:","765111-1","Rothmannia annae"
1,"(Oliv.) Hemsl.","Plantae","Mimusops sechellarum","Species","/taxon/urn:lsid:ipni.org:","788058-1","Mimusops sechellarum"
1,"Baker","Plantae","Soulamea terminalioides","Species","/taxon/urn:lsid:ipni.org:","814146-1","Soulamea terminalioides"
1,"Airy Shaw","Plantae","Drypetes riseleyi","Species","/taxon/urn:lsid:ipni.org:","345164-1","Drypetes riseleyi"
1,"Baker","Plantae","Ficus bojeri","Species","/taxon/urn:lsid:ipni.org:","852506-1","Ficus bojeri"
1,"Blume","Plantae","Memecylon elaeagni","Species","/taxon/urn:lsid:ipni.org:","571523-1","Memecylon elaeagni"
1,"(Lam.) Benth. ex Engl.","Plantae","Canarium paniculatum","Species","/taxon/urn:lsid:ipni.org:","127453-1","Canarium paniculatum"
1,"Poir.","Plantae","Diospyros angulata","Species","/taxon/urn:lsid:ipni.org:","322076-1","Diospyros angulata"
1,"A.DC.","Plantae","Diospyros boutoniana","Species","/taxon/urn:lsid:ipni.org:","322159-1","Diospyros boutoniana"
1,"Poir.","Plantae","Diospyros chrysophyllos","Species","/taxon/urn:lsid:ipni.org:","322235-1","Diospyros chrysophyllos"
1,"Poir.","Plantae","Diospyros leucomelas","Species","/taxon/urn:lsid:ipni.org:","322601-1","Diospyros leucomelas"
1,"Croizat","Plantae","Croton vaughanii","Species","/taxon/urn:lsid:ipni.org:","343711-1","Croton vaughanii"
1,"Bojer ex Baill.","Plantae","Macaranga mauritiana","Species","/taxon/urn:lsid:ipni.org:","351243-1","Macaranga mauritiana"
1,"Vent.","Plantae","Casearia tinifolia","Species","/taxon/urn:lsid:ipni.org:","779705-1","Casearia tinifolia"
1,"Kunth","Plantae","Dracaena concinna","Species","/taxon/urn:lsid:ipni.org:","534149-1","Dracaena concinna"
1,"Baker","Plantae","Dracaena floribunda","Species","/taxon/urn:lsid:ipni.org:","534202-1","Dracaena floribunda"
1,"(A.DC.) Coode","Plantae","Badula platyphylla","Species","/taxon/urn:lsid:ipni.org:","587804-1","Badula platyphylla"
1,"A.DC.","Plantae","Badula reticulata","Species","/taxon/urn:lsid:ipni.org:","587805-1","Badula reticulata"
1,"Brett","Plantae","Eucalyptus morrisbyi","Species","/taxon/urn:lsid:ipni.org:","593138-1","Eucalyptus morrisbyi"
1,"(F.Muell.) Hook.f.","Plantae","Pherosphaera fitzgeraldii","Species","/taxon/urn:lsid:ipni.org:","106588-3","Pherosphaera fitzgeraldii"
1,"Hyland","Plantae","Agathis atropurpurea","Species","/taxon/urn:lsid:ipni.org:","92689-1","Agathis atropurpurea"
1,"J.F.Bailey & C.T.White","Plantae","Agathis microstachya","Species","/taxon/urn:lsid:ipni.org:","676649-1","Agathis microstachya"
1,"Blume","Plantae","Aglaia argentea","Species","/taxon/urn:lsid:ipni.org:","576972-1","Aglaia argentea"
1,"F.M.Bailey","Plantae","Xanthostemon oppositifolius","Species","/taxon/urn:lsid:ipni.org:","602792-1","Xanthostemon oppositifolius"
1,"I.Richardson","Plantae","Diospyros egrettarum","Species","/taxon/urn:lsid:ipni.org:","322355-1","Diospyros egrettarum"
1,"I.Richardson","Plantae","Diospyros revaughanii","Species","/taxon/urn:lsid:ipni.org:","322935-1","Diospyros revaughanii"
1,"I.Richardson","Plantae","Diospyros hemiteles","Species","/taxon/urn:lsid:ipni.org:","322487-1","Diospyros hemiteles"
1,"Rich.","Plantae","Callitris oblonga","Species","/taxon/urn:lsid:ipni.org:","261778-1","Callitris oblonga"
1,"(Bouton ex Steud.) Marchand ex Engl.","Plantae","Poupartia pubescens","Species","/taxon/urn:lsid:ipni.org:","70305-1","Poupartia pubescens"
1,"(Lam.) Baill.","Plantae","Xylopia amplexicaulis","Species","/taxon/urn:lsid:ipni.org:","76062-1","Xylopia amplexicaulis"
1,"Boivin ex Baill.","Plantae","Xylopia richardii","Species","/taxon/urn:lsid:ipni.org:","76246-1","Xylopia richardii"
1,"Baill.","Plantae","Xylopia lamarckii","Species","/taxon/urn:lsid:ipni.org:","76161-1","Xylopia lamarckii"
1,"Sm.","Plantae","Weinmannia tinctoria","Species","/taxon/urn:lsid:ipni.org:","795087-1","Weinmannia tinctoria"
1,"Poir.","Plantae","Diospyros melanida","Species","/taxon/urn:lsid:ipni.org:","322689-1","Diospyros melanida"
1,"A.DC.","Plantae","Diospyros neraudii","Species","/taxon/urn:lsid:ipni.org:","322757-1","Diospyros neraudii"
1,"Poir.","Plantae","Diospyros nodosa","Species","/taxon/urn:lsid:ipni.org:","322773-1","Diospyros nodosa"
1,"Bojer ex A.DC.","Plantae","Diospyros pterocalyx","Species","/taxon/urn:lsid:ipni.org:","322908-1","Diospyros pterocalyx"
1,"Poir.","Plantae","Diospyros tessellaria","Species","/taxon/urn:lsid:ipni.org:","323092-1","Diospyros tessellaria"
1,"R.E.Vaughan","Plantae","Elaeocarpus bojeri","Species","/taxon/urn:lsid:ipni.org:","324001-1","Elaeocarpus bojeri"
1,"Lam.","Plantae","Elaeocarpus integrifolius","Species","/taxon/urn:lsid:ipni.org:","833853-1","Elaeocarpus integrifolius"
1,"Bosser","Plantae","Casearia mauritiana","Species","/taxon/urn:lsid:ipni.org:","365177-1","Casearia mauritiana"
1,"Vahl","Plantae","Ficus lateriflora","Species","/taxon/urn:lsid:ipni.org:","853095-1","Ficus lateriflora"
1,"Baker","Plantae","Eugenia bojeri","Species","/taxon/urn:lsid:ipni.org:","593786-1","Eugenia bojeri"
1,"(Lam.) Vahl","Plantae","Olax psittacorum","Species","/taxon/urn:lsid:ipni.org:","608138-1","Olax psittacorum"
1,"(Lam.) Sm.","Plantae","Zanthoxylum heterophyllum","Species","/taxon/urn:lsid:ipni.org:","775768-1","Zanthoxylum heterophyllum"
1,"(G.Forst.) Marais","Plantae","Trochetiopsis erythroxylon","Species","/taxon/urn:lsid:ipni.org:","909797-1","Trochetiopsis erythroxylon"
1,"(Sol. ex Sims) Marais","Plantae","Trochetiopsis melanoxylon","Species","/taxon/urn:lsid:ipni.org:","909798-1","Trochetiopsis melanoxylon"
1,"Saff.","Plantae","Annona spraguei","Species","/taxon/urn:lsid:ipni.org:","14352-2","Annona spraguei"
1,"(R.E.Fr.) R.E.Fr.","Plantae","Guatteria panamensis","Species","/taxon/urn:lsid:ipni.org:","73555-1","Guatteria panamensis"
1,"Standl.","Plantae","Stenanona panamensis","Species","/taxon/urn:lsid:ipni.org:","75170-1","Stenanona panamensis"
1,"Woodson ex Dwyer","Plantae","Aspidosperma darienense","Species","/taxon/urn:lsid:ipni.org:","21956-2","Aspidosperma darienense"
1,"(Standl. & A.C.Sm.) A.C.Sm.","Plantae","Dendropanax sessiliflorus","Species","/taxon/urn:lsid:ipni.org:","77669-2","Dendropanax sessiliflorus"
1,"A.C.Sm.","Plantae","Schefflera seibertii","Species","/taxon/urn:lsid:ipni.org:","229064-2","Schefflera seibertii"
1,"(A.H.Gentry) A.H.Gentry","Plantae","Amphitecna spathicalyx","Species","/taxon/urn:lsid:ipni.org:","108230-1","Amphitecna spathicalyx"
1,"A.H.Gentry","Plantae","Parmentiera morii","Species","/taxon/urn:lsid:ipni.org:","183294-2","Parmentiera morii"
1,"A.H.Gentry","Plantae","Tabebuia striata","Species","/taxon/urn:lsid:ipni.org:","248808-2","Tabebuia striata"
1,"Pittier","Plantae","Gyranthera darienensis","Species","/taxon/urn:lsid:ipni.org:","116046-2","Gyranthera darienensis"
1,"A.Robyns","Plantae","Hampea micrantha","Species","/taxon/urn:lsid:ipni.org:","112413-1","Hampea micrantha"
1,"(A.Robyns) Cuatrec.","Plantae","Matisia dolichopoda","Species","/taxon/urn:lsid:ipni.org:","154682-2","Matisia dolichopoda"
1,"(Rose) I.M.Johnst.","Plantae","Protium panamense","Species","/taxon/urn:lsid:ipni.org:","210603-2","Protium panamense"
1,"(Rose) Engl.","Plantae","Protium pittieri","Species","/taxon/urn:lsid:ipni.org:","210615-2","Protium pittieri"
1,"(Willd.) Spreng.","Plantae","Buxus citrifolia","Species","/taxon/urn:lsid:ipni.org:","340279-1","Buxus citrifolia"
1,"Lundell","Plantae","Zinowiewia costaricensis","Species","/taxon/urn:lsid:ipni.org:","271166-2","Zinowiewia costaricensis"
1,"Standl.","Plantae","Caryodendron angustifolium","Species","/taxon/urn:lsid:ipni.org:","340437-1","Caryodendron angustifolium"
1,"Croizat","Plantae","Pera aperta","Species","/taxon/urn:lsid:ipni.org:","189986-2","Pera aperta"
1,"Sleumer","Plantae","Casearia atlantica","Species","/taxon/urn:lsid:ipni.org:","47946-2","Casearia atlantica"
1,"A.Robyns","Plantae","Laetia micrantha","Species","/taxon/urn:lsid:ipni.org:","134763-2","Laetia micrantha"
1,"Maguire","Plantae","Clusia dukei","Species","/taxon/urn:lsid:ipni.org:","61446-2","Clusia dukei"
1,"(Maguire) Maguire","Plantae","Clusia cupulata","Species","/taxon/urn:lsid:ipni.org:","61431-2","Clusia cupulata"
