Count,Family
17,CYMODOCEACEAE
131,HYDROCHARITACEAE
9,POSIDONIACEAE
22,ZOSTERACEAE
2561,ARECACEAE
27753,ORCHIDACEAE
97,CYCADACEAE
220,ZAMIACEAE
41,ARAUCARIACEAE
130,CUPRESSACEAE
225,PINACEAE
185,PODOCARPACEAE
4,PHYLLOCLADACEAE
1,SCIADOPITYACEAE
21,TAXACEAE
8,CEPHALOTAXACEAE
1600,CACTACEAE
140,NEPENTHACEAE
2,RORIDULACEAE
179,DROSERACEAE
3,DIONCOPHYLLACEAE
1,CEPHALOTACEAE
30,SARRACENIACEAE
378,LENTIBULARIACEAE
