id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:77141128-1,,(Lindau) T.F.Daniel,Anisotes comorensis,Acanthaceae,,Anisotes,,comorensis,,false,false,spec.,Candollea 69(1): 50. 2014 [15 Jul 2014],2014,T.F.Daniel,urn:lsid:ipni.org:publications:885-2,"Lindau@22365-1@2@bas, T.F.Daniel@12125-1@1@aut",,,,Candollea,,,comb. nov.,69(1): 50,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [15 Jul 2014],[15 Jul 2014],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77141129-1,,T.F.Daniel,Anisotes mayottensis,Acanthaceae,,Anisotes,,mayottensis,,false,false,spec.,Candollea 69(1): 51. 2014 [15 Jul 2014],2014,T.F.Daniel,urn:lsid:ipni.org:publications:885-2,T.F.Daniel@12125-1@1@aut,,,,Candollea,,,tax. nov.,69(1): 51,936,Pascal,"Mayotte (Comoros, Western Indian Ocean, Africa)",,,true,,,,"Bénara, 600 m",,,,,,,,,,,,,,,,,,,,,,,,2014 [15 Jul 2014],[15 Jul 2014],,,,,,,,,,false,true,holotype CAS;isotype K;isotype P,,,
urn:lsid:ipni.org:names:77147868-1,,T.F.Daniel & McPherson,Aphelandra merelloae,Acanthaceae,,Aphelandra,,merelloae,,false,false,spec.,Brittonia 66(4): 321. 2014 [24 Jul 2014] [epublished],2014,T.F.Daniel & McPherson,urn:lsid:ipni.org:publications:561-2,"McPherson@35688-1@2@aut, T.F.Daniel@12125-1@1@aut",,,,Brittonia,,,tax. nov.,66(4): 321,21223,G.McPherson &amp; M.Merello,"Panama (Central America, Southern America)",,,true,8,51,47,"Colón: Distr. Donoso, site of proposed copper mine (MPSA), 130 m",80,38,25,W,N,,,,,,,,,,,,,,,,,,,2014 [24 Jul 2014],[24 Jul 2014],,[epublished],doi:10.1007/s12228-014-9338-0 [english],,,,,,,false,true,holotype PMA;isotype CAS;isotype MO,,,
urn:lsid:ipni.org:names:77137446-1,,I.Darbysh.,Barleria glandulostamina,Acanthaceae,,Barleria,,glandulostamina,,false,false,spec.,Kew Bull. 69(2)-9513: 3. 2014 [1 Jun 2014] [epublished],2014,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,69(2)-9513: 3,PR 760,Ranirison,"Madagascar (Western Indian Ocean, Africa)",,,true,,,,"Antsiranana, Daraina, forêt d’Antsahabe",,,,,,,,,,,,,,,,,,,,,,,,2014 [1 Jun 2014],[1 Jun 2014],,[epublished],doi:10.1007/s12225-014-9513-1 [english],,,,,,,false,true,holotype K;isotype CAS;isotype Daraina;isotype G;isotype TEF,,,
urn:lsid:ipni.org:names:77137448-1,,I.Darbysh.,Barleria microcalyx,Acanthaceae,,Barleria,,microcalyx,,false,false,spec.,Kew Bull. 69(2)-9513: 7. 2014 [1 Jun 2014] [epublished],2014,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,69(2)-9513: 7,PR 669,Ranirison,"Madagascar (Western Indian Ocean, Africa)",,,true,,,,"Antsiranana, Daraina, forêt d’Antsaharaingy",,,,,,,,,,,,,,,,,,,,,,,,2014 [1 Jun 2014],[1 Jun 2014],,[epublished],doi:10.1007/s12225-014-9513-1 [english],,,,,,,false,true,holotype K;isotype CAS;isotype Daraina;isotype G;isotype TEF,,,
urn:lsid:ipni.org:names:77137445-1,,I.Darbysh.,Barleria speciosa,Acanthaceae,,Barleria,,speciosa,,false,false,spec.,Kew Bull. 69(2)-9513: 2. 2014 [1 Jun 2014] [epublished],2014,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,69(2)-9513: 2,PR 701,Ranirison,"Madagascar (Western Indian Ocean, Africa)",,,true,,,,"Antsiranana, Daraina, forêt d’Antsaharaingy",,,,,,,,,,,,,,,,,,,,,,,,2014 [1 Jun 2014],[1 Jun 2014],,[epublished],doi:10.1007/s12225-014-9513-1 [english],,,,,,,false,true,holotype K;isotype CAS;isotype Daraina;isotype G;isotype TEF,,,
urn:lsid:ipni.org:names:77143036-1,,Kiew,Gymnostachyum kanthanense,Acanthaceae,,Gymnostachyum,,kanthanense,,false,false,spec.,Phytotaxa 177(3): 147. 2014 [29 Aug 2014] [epublished],2014,Kiew,urn:lsid:ipni.org:publications:20011462-1,Kiew@13671-1@1@aut,,,,Phytotaxa,,,tax. nov.,177(3): 147,FRI 78060,"J.P.C.Tan, R.Kiew &amp; H.L.Kueh","Malaya (Malesia, Asia-Tropical)",,,true,4,46,7,"Perak: Kuala Kangsar District, Chemor, Gunung Kanthan, 179 m",101,7,26,E,N,,,,,,,,,,,,,,,,,,,2014 [29 Aug 2014],[29 Aug 2014],,[epublished],doi:10.11646/phytotaxa.177.3.2  [english],,,,,,,false,true,holotype KEP;isotype K;isotype KEP;isotype SING,,,
urn:lsid:ipni.org:names:77142287-1,,(Nees) Sunojk. & M.G.Prasad,Hygrophila thymus,Acanthaceae,,Hygrophila,,thymus,,false,false,spec.,Rheedea 24(1): 13. 2014 [30 Jun 2014],2014,Sunojk. & M.G.Prasad,urn:lsid:ipni.org:publications:14582-2,"M.G.Prasad@20025630-1@2@aut, Nees@6888-1@3@bas, Sunojk.@20000058-1@1@aut",,,,Rheedea,,,comb. nov.,24(1): 13,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [30 Jun 2014],[30 Jun 2014],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77141609-1,,K.Balkwill,Isoglossa glandulosissima,Acanthaceae,,Isoglossa,,glandulosissima,,false,false,spec.,Novon 23(1): 79. 2014 [8 Apr 2014],2014,K.Balkwill,urn:lsid:ipni.org:publications:14256-2,K.Balkwill@31254-1@1@aut,,,,Novon,,,tax. nov.,23(1): 79,4287,K. &amp; M.-J.Balkwill,"Mpumalanga (Northern Provinces, Southern Africa, Africa);Eastern Cape Province (Cape Provinces, Southern Africa, Africa);Free State (Southern Africa, Africa);Gauteng (Northern Provinces, Southern Africa, Africa);KwaZulu-Natal (Southern Africa, Africa);Northern Province (Northern Provinces, Southern Africa, Africa);North-West Province (Northern Provinces, Southern Africa, Africa);Mozambique (South Tropical Africa, Africa);Swaziland (Southern Africa, Africa);",,,true,,,,"Mpumalanga, ca. 34 km SE of Nelspruit, on farm Weltevreden 229JU (Pullen Farm)",,,,,,,,,,,,,,,,,,,,,,,,2014 [8 Apr 2014],[8 Apr 2014],,,doi:10.3417/2013006,,,,,,,false,true,holotype J;isotype E;isotype K;isotype MO;isotype PRE,,,
urn:lsid:ipni.org:names:77148882-1,,(Lindau) J.C.Manning & Goldblatt,Justicia andromeda,Acanthaceae,,Justicia,,andromeda,,false,false,spec.,Bothalia 44(1): 45. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"Lindau@22365-1@3@bas, Goldblatt@3235-1@2@aut, J.C.Manning@14817-1@1@aut",,,,Bothalia,,,comb. nov.,44(1): 45,,,,,,false,,,,,,,,,,"nom. inval.    , contrary to Art. 41.8 ICN (2012). Incorrect basionym publication cited.",,,nom. inval.,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],doi:10.4102/abc.v44i1.169,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147653-1,,(Bedd.) J.R.I.Wood,Justicia apiculata,Acanthaceae,,Justicia,,apiculata,,false,false,spec.,Novon 23(3): 386. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,"J.R.I.Wood@12313-1@1@aut, Bedd.@607-1@2@bas",,,,Novon,,,comb. nov.,23(3): 386,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148884-1,,(Munday) J.C.Manning & Goldblatt,Justicia callothamnum,Acanthaceae,,Justicia,,callothamnum,,false,false,spec.,Bothalia 44(1): 46. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"Goldblatt@3235-1@2@aut, J.C.Manning@14817-1@1@aut, Munday@23758-1@3@bas",,,,Bothalia,,,comb. nov.,44(1): 46,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],doi:10.4102/abc.v44i1.169,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147654-1,,J.R.I.Wood,Justicia concinna,Acanthaceae,,Justicia,,concinna,,false,false,spec.,Novon 23(3): 386. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,J.R.I.Wood@12313-1@1@aut,,,,Novon,,,nom. nov.,23(3): 386,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148885-1,,(P.G.Mey.) J.C.Manning & Goldblatt,Justicia crassiuscula,Acanthaceae,,Justicia,,crassiuscula,,false,false,spec.,Bothalia 44(1): 46. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"Goldblatt@3235-1@2@aut, P.G.Mey.@6417-1@3@bas, J.C.Manning@14817-1@1@aut",,,,Bothalia,,,comb. nov.,44(1): 46,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],doi:10.4102/abc.v44i1.169,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147655-1,,J.R.I.Wood,Justicia crenatifolia,Acanthaceae,,Justicia,,crenatifolia,,false,false,spec.,Novon 23(3): 387. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,J.R.I.Wood@12313-1@1@aut,,,,Novon,,,nom. nov.,23(3): 387,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148883-1,,(Hochst.) J.C.Manning & Goldblatt,Justicia densiflora,Acanthaceae,,Justicia,,densiflora,,false,false,spec.,Bothalia 44(1): 45. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"Hochst.@3983-1@3@bas, Goldblatt@3235-1@2@aut, J.C.Manning@14817-1@1@aut",,,,Bothalia,,,comb. nov.,44(1): 45,,,,,,false,,,,,,,,,,nom. illeg. later homonym,,,nom. illeg.,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],doi:10.4102/abc.v44i1.169,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148887-1,,J.C.Manning & Goldblatt,Justicia dregei,Acanthaceae,,Justicia,,dregei,,false,false,spec.,Bothalia 44(1): 46. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"J.C.Manning@14817-1@1@aut, Goldblatt@3235-1@2@aut",,,,Bothalia,,,nom. nov.,44(1): 46,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],doi:10.4102/abc.v44i1.169 Named after J. F. Drège.,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147659-1,,J.R.I.Wood,Justicia eudoxa,Acanthaceae,,Justicia,,eudoxa,,false,false,spec.,Novon 23(3): 387. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,J.R.I.Wood@12313-1@1@aut,,,,Novon,,,nom. nov.,23(3): 387,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046 Replaced name cited as 'Justicia laeta C.B.Clarke'.,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148886-1,,J.C.Manning & Goldblatt,Justicia fleckii,Acanthaceae,,Justicia,,fleckii,,false,false,spec.,Bothalia 44(1): 46. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"J.C.Manning@14817-1@1@aut, Goldblatt@3235-1@2@aut",,,,Bothalia,,,nom. nov.,44(1): 46,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],"doi:10.4102/abc.v44i1.169 Named after E. Fleck. Incorrect page number cited in basionym ref. but correctable error, see Art. 41.6 ICN (2012).",,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147656-1,,J.R.I.Wood,Justicia heyneana,Acanthaceae,,Justicia,,heyneana,,false,false,spec.,Novon 23(3): 387. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,J.R.I.Wood@12313-1@1@aut,,,,Novon,,,nom. nov.,23(3): 387,,,,,,false,,,,,,,,,,nom. illeg. nom. superfl.,,,nom. illeg.,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147658-1,,(C.B.Clarke) J.R.I.Wood,Justicia himalayensis,Acanthaceae,,Justicia,,himalayensis,,false,false,spec.,Novon 23(3): 387. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,"J.R.I.Wood@12313-1@1@aut, C.B.Clarke@1669-1@2@bas",,,,Novon,,,comb. nov.,23(3): 387,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148889-1,,J.C.Manning & Goldblatt,Justicia karroica,Acanthaceae,,Justicia,,karroica,,false,false,spec.,Bothalia 44(1): 46. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"Goldblatt@3235-1@2@aut, J.C.Manning@14817-1@1@aut",,,,Bothalia,,,nom. nov.,44(1): 46,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],doi:10.4102/abc.v44i1.169,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147681-1,,(Nees) J.R.I.Wood,Justicia latior,Acanthaceae,,Justicia,,latior,,false,false,spec.,Novon 23(3): 388. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,"J.R.I.Wood@12313-1@1@aut, Nees@6888-1@2@bas",,,,Novon,,,comb. nov.,23(3): 388,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147684-1,,(T.Anderson) J.R.I.Wood,Justicia mastersii,Acanthaceae,,Justicia,,mastersii,,false,false,spec.,Novon 23(3): 388. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,"T.Anderson@199-1@2@bas, J.R.I.Wood@12313-1@1@aut",,,,Novon,,,comb. nov.,23(3): 388,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147685-1,,J.R.I.Wood,Justicia meghalayana,Acanthaceae,,Justicia,,meghalayana,,false,false,spec.,Novon 23(3): 388. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,J.R.I.Wood@12313-1@1@aut,,,,Novon,,,nom. nov.,23(3): 388,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148890-1,,J.C.Manning & Goldblatt,Justicia namibensis,Acanthaceae,,Justicia,,namibensis,,false,false,spec.,Bothalia 44(1): 46. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"J.C.Manning@14817-1@1@aut, Goldblatt@3235-1@2@aut",,,,Bothalia,,,nom. nov.,44(1): 46,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],doi:10.4102/abc.v44i1.169,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77138679-1,,Rueangs. & Chantar.,Justicia prachuapensis,Acanthaceae,,Justicia,,prachuapensis,,false,false,spec.,Phytotaxa 162(2): 120. 2014 [10 Mar 2014] [epublished],2014,Rueangs. & Chantar.,urn:lsid:ipni.org:publications:20011462-1,"Rueangs.@20023873-1@1@aut, Chantar.@36229-1@2@aut",,,,Phytotaxa,,,nom. nov.,162(2): 120,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Mar 2014],[10 Mar 2014],,[epublished],doi:10.11646/phytotaxa.162.2.8,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148891-1,,(Munday) J.C.Manning & Goldblatt,Justicia saxatilis,Acanthaceae,,Justicia,,saxatilis,,false,false,spec.,Bothalia 44(1): 46. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"Munday@23758-1@3@bas, J.C.Manning@14817-1@1@aut, Goldblatt@3235-1@2@aut",,,,Bothalia,,,comb. nov.,44(1): 46,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],doi:10.4102/abc.v44i1.169,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148892-1,,(P.G.Mey.) J.C.Manning & Goldblatt,Justicia serotina,Acanthaceae,,Justicia,,serotina,,false,false,spec.,Bothalia 44(1): 46. 2014 [10 Dec 2014] [epublished],2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"J.C.Manning@14817-1@1@aut, P.G.Mey.@6417-1@3@bas, Goldblatt@3235-1@2@aut",,,,Bothalia,,,comb. nov.,44(1): 46,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,[epublished],doi:10.4102/abc.v44i1.169,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148893-1,,(P.G.Mey.) J.C.Manning & Goldblatt,Justicia tonsa,Acanthaceae,,Justicia,,tonsa,,false,false,spec.,"Bothalia 44(1): 46. 2014 [10 Dec 2014] [epublished], as 'tonsum'",2014,J.C.Manning & Goldblatt,urn:lsid:ipni.org:publications:871-2,"P.G.Mey.@6417-1@3@bas, Goldblatt@3235-1@2@aut, J.C.Manning@14817-1@1@aut",,,,Bothalia,,,comb. nov.,44(1): 46,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [10 Dec 2014],[10 Dec 2014],,"[epublished], as 'tonsum'",doi:10.4102/abc.v44i1.169,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147686-1,,J.R.I.Wood,Justicia vallis-silentiosae,Acanthaceae,,Justicia,,vallis-silentiosae,,false,false,spec.,Novon 23(3): 388. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,J.R.I.Wood@12313-1@1@aut,,,,Novon,,,nom. nov.,23(3): 388,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147687-1,,(Nees) J.R.I.Wood,Justicia wightiana,Acanthaceae,,Justicia,,wightiana,,false,false,spec.,Novon 23(3): 389. 2014 [4 Nov 2014],2014,J.R.I.Wood,urn:lsid:ipni.org:publications:14256-2,"J.R.I.Wood@12313-1@1@aut, Nees@6888-1@2@bas",,,,Novon,,,comb. nov.,23(3): 389,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [4 Nov 2014],[4 Nov 2014],,,doi:10.3417/2013046,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77147544-1,,(Benoist) E.Magnaghi,Mendoncia decaryi,Acanthaceae,,Mendoncia,,decaryi,,false,false,spec.,Novon 23(2): 188. 2014 [16 Jul 2014],2014,E.Magnaghi,urn:lsid:ipni.org:publications:14256-2,"E.Magnaghi@20028258-1@1@aut, Benoist@659-1@2@bas",,,,Novon,,,comb. et stat. nov.,23(2): 188,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 [16 Jul 2014],[16 Jul 2014],,,doi:10.3417/2013013,,,,,,,false,true,,,,
