id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:77098516-1,,Ensermu,Acanthopale aethiogermanica,Acanthaceae,,Acanthopale,,aethiogermanica,,false,false,spec.,"Kew Bull. 64(1): 58 (60-62; fig. 2, map). 2009 [May 2009]",2009,Ensermu,urn:lsid:ipni.org:publications:987-2,Ensermu@14302-1@1@aut,,,,Kew Bull.,,,tax. nov.,"64(1): 58 (60-62; fig. 2, map)",820818-7/4,Puff &amp; Ensermu K.,"Ethiopia (Northeast Tropical Africa, Africa)",,,true,7,35,,"Kefa Region, Jimma Awraja, end of Belete Forest",36,40,,E,N,,,,,,,,,,,,,,,,,,,2009 [May 2009],[May 2009],,,as aethio-germanica,,,,,,,false,true,holotype ETH;isotype K;isotype WU,,,
urn:lsid:ipni.org:names:77099031-1,,I.Darbysh. & Ndang.,Barleria diplotricha,Acanthaceae,,Barleria,,diplotricha,,false,false,spec.,J. E. Afr. Nat. Hist. 97(2): 128 (-129; fig. 1). 2009 [2008 publ. 31 Mar 2009],2009,I.Darbysh. & Ndang.,urn:lsid:ipni.org:publications:20004597-1,"I.Darbysh.@20004449-2@1@aut, Ndang.@39289-1@2@aut",,,,J. E. Afr. Nat. Hist.,,,tax. nov.,97(2): 128 (-129; fig. 1),1112,Ndangalasi &amp; Suleiman,"Tanzania (East Tropical Africa, Africa)",,,true,,,,Malagarasi-Moyowosi Ramsar Site,,,,,,,,,,,,,,,,,,,,,,,,2009 [2008 publ. 31 Mar 2009],[2008 publ. 31 Mar 2009],,,,,,,,,,false,true,holotype DSM;isotype K,,,
urn:lsid:ipni.org:names:77099034-1,,I.Darbysh.,Barleria griseoviridis,Acanthaceae,,Barleria,,griseoviridis,,false,false,spec.,J. E. Afr. Nat. Hist. 97(2): 132 (-133; fig. 2). 2009 [2008 publ. 31 Mar 2009],2009,I.Darbysh.,urn:lsid:ipni.org:publications:20004597-1,I.Darbysh.@20004449-2@1@aut,,,,J. E. Afr. Nat. Hist.,,,tax. nov.,97(2): 132 (-133; fig. 2),3813,"Bidgood, Sitoni, Vollesen &amp; Whitehouse","Tanzania (East Tropical Africa, Africa)",,,true,,,,21 km on Kipili-Namanyere road,,,,,,,,,,,,,,,,,,,,,,,,2009 [2008 publ. 31 Mar 2009],[2008 publ. 31 Mar 2009],,,,,,,,,,false,true,holotype K;isotype BR;isotype C;isotype CAS;isotype DSM;isotype EA;isotype K;isotype MO;isotype NHT;isotype P;isotype US;isotype WAG,,,
urn:lsid:ipni.org:names:77099032-1,,I.Darbysh.,Barleria mpandensis,Acanthaceae,,Barleria,,mpandensis,,false,false,spec.,J. E. Afr. Nat. Hist. 97(2): 129 (-130; fig. 2). 2009 [2008 publ. 31 Mar 2009],2009,I.Darbysh.,urn:lsid:ipni.org:publications:20004597-1,I.Darbysh.@20004449-2@1@aut,,,,J. E. Afr. Nat. Hist.,,,tax. nov.,97(2): 129 (-130; fig. 2),151,Semsei per Herring,"Tanzania (East Tropical Africa, Africa)",,,true,,,,Kabungu,,,,,,,,,,,,,,,,,,,,,,,,2009 [2008 publ. 31 Mar 2009],[2008 publ. 31 Mar 2009],,,,,,,,,,false,true,holotype K;isotype EA;isotype K,,,
urn:lsid:ipni.org:names:77095796-1,,I.Darbysh.,Barleria richardsiae,Acanthaceae,,Barleria,,richardsiae,,false,false,spec.,"Kew Bull. 63(4): 608 (-610; figs. 1G, 2). 2009 [2008 publ. 10 Feb 2009]",2009,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,"63(4): 608 (-610; figs. 1G, 2)",2649,"Bidgood, Mbago &amp; Vollesen","Tanzania (East Tropical Africa, Africa);Zambia (South Tropical Africa, Africa);",,,true,,,,Nkansi Distr.: 33km on Namanyere - Karonga road,,,,,,,,,,,,,,,,,,,,,,,,2009 [2008 publ. 10 Feb 2009],[2008 publ. 10 Feb 2009],,,,,,,,,,false,true,holotype K;isotype BR;isotype C;isotype CAS;isotype DSM;isotype EA;isotype K;isotype NHT;isotype P,,,
urn:lsid:ipni.org:names:77103384-1,,Champl.,Brachystephanus calostachyus,Acanthaceae,,Brachystephanus,,calostachyus,,false,false,spec.,"Syst. & Geogr. Pl. 79(2): 131 (-132; fig. 1, map). 2009",2009,Champl.,urn:lsid:ipni.org:publications:20000074-1,Champl.@31936-1@1@aut,,,,Syst. & Geogr. Pl.,,,tax. nov.,"79(2): 131 (-132; fig. 1, map)",5155,Schmitz,"Zaïre (West-Central Tropical Africa, Africa);Zambia (South Tropical Africa, Africa);Angola (South Tropical Africa, Africa);",,,true,,,,15 km NW de Lubumbashi,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,false,true,holotype BR,,,
urn:lsid:ipni.org:names:77103385-1,,Champl.,Brachystephanus congensis,Acanthaceae,,Brachystephanus,,congensis,,false,false,spec.,Syst. & Geogr. Pl. 79(2): 134 (-135; map). 2009,2009,Champl.,urn:lsid:ipni.org:publications:20000074-1,Champl.@31936-1@1@aut,,,,Syst. & Geogr. Pl.,,,tax. nov.,79(2): 134 (-135; map),3536,Pauwels,"Zaïre (West-Central Tropical Africa, Africa);Gabon (West-Central Tropical Africa, Africa);Congo (West-Central Tropical Africa, Africa);",,,true,,,,Bombo Makuka,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,false,true,holotype BR,,,
urn:lsid:ipni.org:names:77103388-1,,Champl.,Brachystephanus giganteus,Acanthaceae,,Brachystephanus,,giganteus,,false,false,spec.,Syst. & Geogr. Pl. 79(2): 139. 2009,2009,Champl.,urn:lsid:ipni.org:publications:20000074-1,Champl.@31936-1@1@aut,,,,Syst. & Geogr. Pl.,,,nom. nov.,79(2): 139,,,"Cameroon (West-Central Tropical Africa, Africa)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77103387-1,,Champl.,Brachystephanus kupeensis,Acanthaceae,,Brachystephanus,,kupeensis,,false,false,spec.,"Syst. & Geogr. Pl. 79(2): 137 (-139; fig. 6, map). 2009",2009,Champl.,urn:lsid:ipni.org:publications:20000074-1,Champl.@31936-1@1@aut,,,,Syst. & Geogr. Pl.,,,tax. nov.,"79(2): 137 (-139; fig. 6, map)",5673,Cheek,"Cameroon (West-Central Tropical Africa, Africa)",,,true,,,,"Mt Kupe, Nyasoso, 800-900 m",,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,false,true,holotype BR;isotype K;isotype MO;isotype P;isotype SCA;isotype WAG;isotype YA,,,
urn:lsid:ipni.org:names:77103390-1,,I.Darbysh.,Brachystephanus laxispicatus,Acanthaceae,,Brachystephanus,,laxispicatus,,false,false,spec.,"Syst. & Geogr. Pl. 79(2): 143 (-147; fig. 12, map). 2009",2009,I.Darbysh.,urn:lsid:ipni.org:publications:20000074-1,I.Darbysh.@20004449-2@1@aut,,,,Syst. & Geogr. Pl.,,,tax. nov.,"79(2): 143 (-147; fig. 12, map)",551,Azuma,"Tanzania (East Tropical Africa, Africa)",,,true,,,,"Kigoma Dist., Kabogo Mts,",,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,false,true,holotype EA;isotype KYO,,,
