id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:60434247-2,,"E.S.S.Kumar, A.E.S.Khan & S.G.Gopal",Andrographis chendurunii,Acanthaceae,,Andrographis,,chendurunii,,false,false,spec.,Nordic J. Bot. 22(6): 683 (- 685; fig.). 2004 [May 2004],2004,"E.S.S.Kumar, A.E.S.Khan & S.G.Gopal",urn:lsid:ipni.org:publications:2633-2,"A.E.S.Khan@37644-1@2@aut, S.G.Gopal@20003700-2@3@aut, E.S.S.Kumar@37643-1@1@aut",,,,Nordic J. Bot.,,,tax. nov.,22(6): 683 (- 685; fig.),19173,Santhosh Kumar,"Kerala (India, Indian Subcontinent, Asia-Tropical)",,,true,,,,"Kollam Dist., Pandimotta, 950m",,,,,,,,,,,,,,,,,,,,,,,,2004 [May 2004],[May 2004],,,,,,,,,,false,true,holotype TBGT;isotype CAL;isotype MH;isotype K,,,
urn:lsid:ipni.org:names:77079303-1,,(Rizzini) Profice,Aphelandra gigantea,Acanthaceae,,Aphelandra,,gigantea,,false,false,spec.,Bradea 10(1): 18. 2004 [20 Jun 2004],2004,Profice,urn:lsid:ipni.org:publications:1276-2,"Profice@25116-1@1@aut, Rizzini@25642-1@2@bas",,,,Bradea,,,comb. nov.,10(1): 18,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 [20 Jun 2004],[20 Jun 2004],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77079304-1,,(Lindl.) Profice,Aphelandra longiflora,Acanthaceae,,Aphelandra,,longiflora,,false,false,spec.,Bradea 10(1): 18. 2004 [20 Jun 2004],2004,Profice,urn:lsid:ipni.org:publications:1276-2,"Profice@25116-1@1@aut, Lindl.@22383-1@2@bas",,,,Bradea,,,comb. nov.,10(1): 18,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 [20 Jun 2004],[20 Jun 2004],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77079305-1,,(Nees) Profice,Aphelandra schottiana,Acanthaceae,,Aphelandra,,schottiana,,false,false,spec.,Bradea 10(1): 21. 2004 [20 Jun 2004],2004,Profice,urn:lsid:ipni.org:publications:1276-2,"Nees@6888-1@2@bas, Profice@25116-1@1@aut",,,,Bradea,,,comb. nov.,10(1): 21,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 [20 Jun 2004],[20 Jun 2004],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77062165-1,,Wassh. & J.R.I.Wood,Dicliptera palmariensis,Acanthaceae,,Dicliptera,,palmariensis,,false,false,spec.,Contr. U.S. Natl. Herb. 49: 23 (-24; fig. 7). 2004 [May 2004] [Acanthaceae of Bolivia],2004,Wassh. & J.R.I.Wood,urn:lsid:ipni.org:publications:605-2,"J.R.I.Wood@12313-1@2@aut, Wassh.@11421-1@1@aut",,,386801,Contr. U.S. Natl. Herb.,,,tax. nov.,49: 23 (-24; fig. 7),12403,J.R.I.Wood,"Bolivia (Western South America, Southern America)",,,true,,,,"Tiraque, 1-2km above El Palmar along old road from Chaparé to Cochabamba",,,,,,,,,,,,,,,,,,,,,,,,2004 [May 2004],[May 2004],,[Acanthaceae of Bolivia],,,,,,,,false,true,holotype K;isotype LPB;isotype US 3442768,,,
urn:lsid:ipni.org:names:77062166-1,,Wassh. & J.R.I.Wood,Dicliptera purpurascens,Acanthaceae,,Dicliptera,,purpurascens,,false,false,spec.,Contr. U.S. Natl. Herb. 49: 23 (25-26; fig. 8). 2004 [May 2004] [Acanthaceae of Bolivia],2004,Wassh. & J.R.I.Wood,urn:lsid:ipni.org:publications:605-2,"Wassh.@11421-1@1@aut, J.R.I.Wood@12313-1@2@aut",,,386801,Contr. U.S. Natl. Herb.,,,tax. nov.,49: 23 (25-26; fig. 8),2067,"Wasshausen, Brummitt, Wood &amp; Ritter","Bolivia (Western South America, Southern America)",,,true,,,,"Carrasco, c. 5km E of Valle de Sajta on main road from Chimoré to Santa Cruz, 240m",,,,,,,,,,,,,,,,,,,,,,,,2004 [May 2004],[May 2004],,[Acanthaceae of Bolivia],,,,,,,,false,true,holotype US;isotype K;isotype LPB,,,
urn:lsid:ipni.org:names:60426715-2,,Wassh. & J.R.I.Wood,Justicia adhaerens,Acanthaceae,,Justicia,,adhaerens,,false,false,spec.,Kew Bull. 58(4): 809. 2004 [2003 publ. 9 Feb 2004],2004,Wassh. & J.R.I.Wood,urn:lsid:ipni.org:publications:987-2,"J.R.I.Wood@12313-1@2@aut, Wassh.@11421-1@1@aut",,,,Kew Bull.,,,tax. nov.,58(4): 809,17229,J.R.I.Wood; K.Wendelberger,"Bolivia (Western South America, Southern America)",,,true,,,,"Santa Cruz: Chiquitos, Río Paurito, c. 6km E of Santiago de Chiquitos by trail to El Baño del Ingeniero, 550m",,,,,,,,,,,,,,,,,,,,,,,,2004 [2003 publ. 9 Feb 2004],[2003 publ. 9 Feb 2004],,,,,,,,,,false,true,holotype K;isotype US;isotype CAS;isotype LPB;isotype USZ,,,
urn:lsid:ipni.org:names:60426723-2,,(Rusby) Wassh. & J.R.I.Wood,Justicia albadenia,Acanthaceae,,Justicia,,albadenia,,false,false,spec.,Kew Bull. 58(4): 823. 2004 [2003 publ. 9 Feb 2004],2004,Wassh. & J.R.I.Wood,urn:lsid:ipni.org:publications:987-2,"Wassh.@11421-1@1@aut, J.R.I.Wood@12313-1@2@aut, Rusby@8747-1@3@bas",,,,Kew Bull.,,,comb. nov.,58(4): 823,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 [2003 publ. 9 Feb 2004],[2003 publ. 9 Feb 2004],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77065859-1,,R.Atk.,Justicia alexandri,Acanthaceae,,Justicia,,alexandri,,false,false,spec.,"Ethnofl. Soqotra Archipelago 723 (408, 239; fig.). 2004",2004,R.Atk.,urn:lsid:ipni.org:publications:20001289-1,R.Atk.@20004666-1@1@aut,,,,Ethnofl. Soqotra Archipelago,,,tax. nov.,"723 (408, 239; fig.)",14280,A.Miller &amp; D.Alexander,"Socotra (Northeast Tropical Africa, Africa)",,,true,,,,"Haggeher mountains, near Skand, 1550m",,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,false,true,holotype E,,,
urn:lsid:ipni.org:names:60426718-2,,Wassh. & J.R.I.Wood,Justicia arcuata,Acanthaceae,,Justicia,,arcuata,,false,false,spec.,Kew Bull. 58(4): 815. 2004 [2003 publ. 9 Feb 2004],2004,Wassh. & J.R.I.Wood,urn:lsid:ipni.org:publications:987-2,"Wassh.@11421-1@1@aut, J.R.I.Wood@12313-1@2@aut",,,,Kew Bull.,,,tax. nov.,58(4): 815,15006,J.R.I.Wood,"Bolivia (Western South America, Southern America)",,,true,,,,"Cochabamba: c. 5km from Cochabamba - Santa Cruz highway along road ascending E side of Río Ichoa, 300m",,,,,,,,,,,,,,,,,,,,,,,,2004 [2003 publ. 9 Feb 2004],[2003 publ. 9 Feb 2004],,,,,,,,,,false,true,holotype K;isotype LPB;isotype US;isotype BOLV,,,
