id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:77075733-1,,"Snogerup, B.Snogerup & Strid",Acanthus greuterianus,Acanthaceae,,Acanthus,,greuterianus,,false,false,spec.,Willdenowia 36(1): 324 (323-327; fig. 1). 2006 [27 Feb 2006],2006,"Snogerup, B.Snogerup & Strid",urn:lsid:ipni.org:publications:3087-2,"B.Snogerup@35374-1@2@aut, Strid@10219-1@3@aut, Snogerup@9839-1@1@aut",,,,Willdenowia,,,tax. nov.,36(1): 324 (323-327; fig. 1),29920,Strid et al.,"Greece (Southeastern Europe, Europe)",,,true,40,40,,"Nomos Kozanis, Eparchia Eordeas, near the village of Pirgi, (SE of Limni Vegoritis), 600m",21,51,,E,N,,,,,,,,,,,,,,,,,,,2006 [27 Feb 2006],[27 Feb 2006],,,,,,,,,,false,true,holotype C;isotype ATH;isotype G;isotype LD;isotype UPA,,,
urn:lsid:ipni.org:names:77078985-1,,H.J.Chowdhery & Av.Bhattacharjee,Asystasia indica,Acanthaceae,,Asystasia,,indica,,false,false,spec.,Indian J. Forest. 29(2): 211 (-215; plate 1). 2006 [Jul 2006],2006,H.J.Chowdhery & Av.Bhattacharjee,urn:lsid:ipni.org:publications:11375-2,"H.J.Chowdhery@17223-1@1@aut, Av.Bhattacharjee@20007795-2@2@aut",,,,Indian J. Forest.,,,tax. nov.,29(2): 211 (-215; plate 1),34822,H.J.Chowdhery,"West Bengal (India, Indian Subcontinent, Asia-Tropical)",,,true,,,,"Howrah District, Indian Botanic Garden",,,,,,,,,,,,,,,,,,,,,,,,2006 [Jul 2006],[Jul 2006],,,,,,,,,,false,true,holotype CAL;isotype K,,,
urn:lsid:ipni.org:names:77075625-1,,Hedrén,Barleria albomarginata,Acanthaceae,,Barleria,,albomarginata,,false,false,spec.,Willdenowia 36(2): 756 (755; fig. 2). 2006 [30 Oct 2006],2006,Hedrén,urn:lsid:ipni.org:publications:3087-2,Hedrén@20123-1@1@aut,,,,Willdenowia,,,tax. nov.,36(2): 756 (755; fig. 2),10173,"Thulin, Abdi Dahir &amp; Ahmed Osman","Somalia (Northeast Tropical Africa, Africa)",,,true,11,13,,"Bari Region, Cal Miskaat, N of Dasan in Dal lo'ad area",49,49,,E,N,,,,,,,,,,,,,,,,,,,2006 [30 Oct 2006],[30 Oct 2006],,,,,,,,,,false,true,holotype UPS;isotype K,,,
urn:lsid:ipni.org:names:77075628-1,,(Fiori) Hedrén,Barleria brevispina,Acanthaceae,,Barleria,,brevispina,,false,false,spec.,Willdenowia 36(2): 758. 2006 [30 Oct 2006],2006,Hedrén,urn:lsid:ipni.org:publications:3087-2,"Fiori@18815-1@2@bas, Hedrén@20123-1@1@aut",,,,Willdenowia,,,comb. et stat. nov.,36(2): 758,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 [30 Oct 2006],[30 Oct 2006],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77075624-1,,Hedrén,Barleria dentata,Acanthaceae,,Barleria,,dentata,,false,false,spec.,"Willdenowia 36(2): 754 (753, 756; fig. 1). 2006 [30 Oct 2006]",2006,Hedrén,urn:lsid:ipni.org:publications:3087-2,Hedrén@20123-1@1@aut,,,,Willdenowia,,,tax. nov.,"36(2): 754 (753, 756; fig. 1)",10115,"Thulin, Abdi Dahir &amp; Ahmed Osman","Somalia (Northeast Tropical Africa, Africa)",,,true,10,31,,"Bari Region, 20km SE of Ufeyn",49,50,,E,N,,,,,,,,,,,,,,,,,,,2006 [30 Oct 2006],[30 Oct 2006],,,,,,,,,,false,true,holotype UPS;isotype FT;isotype K,,,
urn:lsid:ipni.org:names:77075629-1,,Hedrén,Barleria glaucobracteata,Acanthaceae,,Barleria,,glaucobracteata,,false,false,spec.,Willdenowia 36(2): 758 (-759). 2006 [30 Oct 2006],2006,Hedrén,urn:lsid:ipni.org:publications:3087-2,Hedrén@20123-1@1@aut,,,,Willdenowia,,,tax. nov.,36(2): 758 (-759),210,Somali Medicinal Plant Project,"Somalia (Northeast Tropical Africa, Africa)",,,true,,,,"Gedo Region, 7-8km S of Luuq",,,,,,,,,,,,,,,,,,,,,,,,2006 [30 Oct 2006],[30 Oct 2006],,,,,,,,,,false,true,holotype UPS;isotype K,,,
urn:lsid:ipni.org:names:77075626-1,,Hedrén,Barleria ilicifolia,Acanthaceae,,Barleria,,ilicifolia,,false,false,spec.,Willdenowia 36(2): 756 (-758; fig. 3). 2006 [30 Oct 2006],2006,Hedrén,urn:lsid:ipni.org:publications:3087-2,Hedrén@20123-1@1@aut,,,,Willdenowia,,,tax. nov.,36(2): 756 (-758; fig. 3),9950,Bally,"Somalia (Northeast Tropical Africa, Africa)",,,true,,,,"Woqooyi Galbeed Region, Dukasia NW of Borama on road to Djibouti",,,,,,,,,,,,,,,,,,,,,,,,2006 [30 Oct 2006],[30 Oct 2006],,,,,,,,,,false,true,holotype K,,,
urn:lsid:ipni.org:names:77075298-1,,(Chiov.) Vollesen,Duosperma actinotrichum,Acanthaceae,,Duosperma,,actinotrichum,,false,false,spec.,Kew Bull. 61(3): 313. 2006 [13 Dec 2006],2006,Vollesen,urn:lsid:ipni.org:publications:987-2,"Vollesen@11256-1@1@aut, Chiov.@1600-1@2@bas",,,,Kew Bull.,,,comb. nov.,61(3): 313,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 [13 Dec 2006],[13 Dec 2006],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77075293-1,,Vollesen,Duosperma dichotomum,Acanthaceae,,Duosperma,,dichotomum,,false,false,spec.,"Kew Bull. 61(3): 303 (-306; fig. 4J, map 4). 2006 [13 Dec 2006]",2006,Vollesen,urn:lsid:ipni.org:publications:987-2,Vollesen@11256-1@1@aut,,,,Kew Bull.,,,tax. nov.,"61(3): 303 (-306; fig. 4J, map 4)",5151,Pedro &amp; Pedrogao,"Mozambique (South Tropical Africa, Africa)",,,true,,,,"Cabo Delgado Province, Mucojo to Ingoane",,,,,,,,,,,,,,,,,,,,,,,,2006 [13 Dec 2006],[13 Dec 2006],,,,,,,,,,false,true,holotype EA,,,
urn:lsid:ipni.org:names:77075315-1,,Vollesen,Duosperma glabratum,Acanthaceae,,Duosperma,,glabratum,,false,false,spec.,"Kew Bull. 61(3): 339 (336, 341-342; fig. 14J-M, map 12). 2006 [13 Dec 2006]",2006,Vollesen,urn:lsid:ipni.org:publications:987-2,Vollesen@11256-1@1@aut,,,,Kew Bull.,,,tax. nov.,"61(3): 339 (336, 341-342; fig. 14J-M, map 12)",610,Steiner,"Malawi (South Tropical Africa, Africa)",,,true,,,,"Northern Region, Karonga Distr., 40km on Chitipa-Karonga road",,,,,,,,,,,,,,,,,,,,,,,,2006 [13 Dec 2006],[13 Dec 2006],,,,,,,,,,false,true,holotype K;isotype UPS,,,
urn:lsid:ipni.org:names:77075310-1,,Vollesen,Duosperma grandiflorum,Acanthaceae,,Duosperma,,grandiflorum,,false,false,spec.,"Kew Bull. 61(3): 320 (322-324; fig. 10, map 7). 2006 [13 Dec 2006]",2006,Vollesen,urn:lsid:ipni.org:publications:987-2,Vollesen@11256-1@1@aut,,,,Kew Bull.,,,tax. nov.,"61(3): 320 (322-324; fig. 10, map 7)",18899,Gillett,"Kenya (East Tropical Africa, Africa)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 [13 Dec 2006],[13 Dec 2006],,,,,,,,,,false,true,holotype K;isotype B;isotype BR;isotype EA;isotype M;isotype NHT;isotype P;isotype WAG,,,
