id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:77153331-1,,(Benoist) Callm. & Phillipson,Acanthopale breviceps,Acanthaceae,,Acanthopale,,breviceps,,false,false,spec.,Candollea 70(2): 254. 2015 [Dec 2015],2015,Callm. & Phillipson,urn:lsid:ipni.org:publications:885-2,"Benoist@659-1@3@bas, Callm.@39331-1@1@aut, Phillipson@24823-1@2@aut",,,,Candollea,,,comb. nov.,70(2): 254,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 [Dec 2015],[Dec 2015],,,doi:10.15553/c2015v702a12,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77153332-1,,(Benoist) Callm. & Phillipson,Acanthopale cuneifolia,Acanthaceae,,Acanthopale,,cuneifolia,,false,false,spec.,Candollea 70(2): 254. 2015 [Dec 2015],2015,Callm. & Phillipson,urn:lsid:ipni.org:publications:885-2,"Phillipson@24823-1@2@aut, Callm.@39331-1@1@aut, Benoist@659-1@3@bas",,,,Candollea,,,comb. nov.,70(2): 254,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 [Dec 2015],[Dec 2015],,,doi:10.15553/c2015v702a12,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77153333-1,,(Benoist) Callm. & Phillipson,Acanthopale humblotii,Acanthaceae,,Acanthopale,,humblotii,,false,false,spec.,Candollea 70(2): 255. 2015 [Dec 2015],2015,Callm. & Phillipson,urn:lsid:ipni.org:publications:885-2,"Phillipson@24823-1@2@aut, Benoist@659-1@3@bas, Callm.@39331-1@1@aut",,,,Candollea,,,comb. nov.,70(2): 255,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 [Dec 2015],[Dec 2015],,,doi:10.15553/c2015v702a12,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77153334-1,,(Benoist) Callm. & Phillipson,Acanthopale perrieri,Acanthaceae,,Acanthopale,,perrieri,,false,false,spec.,Candollea 70(2): 255. 2015 [Dec 2015],2015,Callm. & Phillipson,urn:lsid:ipni.org:publications:885-2,"Phillipson@24823-1@2@aut, Benoist@659-1@3@bas, Callm.@39331-1@1@aut",,,,Candollea,,,comb. nov.,70(2): 255,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 [Dec 2015],[Dec 2015],,,doi:10.15553/c2015v702a12,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77153335-1,,(Benoist) Callm. & Phillipson,Acanthopale ramiflora,Acanthaceae,,Acanthopale,,ramiflora,,false,false,spec.,Candollea 70(2): 255. 2015 [Dec 2015],2015,Callm. & Phillipson,urn:lsid:ipni.org:publications:885-2,"Benoist@659-1@3@bas, Callm.@39331-1@1@aut, Phillipson@24823-1@2@aut",,,,Candollea,,,comb. nov.,70(2): 255,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 [Dec 2015],[Dec 2015],,,doi:10.15553/c2015v702a12,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77148244-1,,H.M.Steyn,Acanthopsis adamanticola,Acanthaceae,,Acanthopsis,,adamanticola,,false,false,spec.,Phytotaxa 219(1): 12. 2015 [7 Jul 2015] [epublished],2015,H.M.Steyn,urn:lsid:ipni.org:publications:20011462-1,H.M.Steyn@20021667-1@1@aut,,,,Phytotaxa,,,tax. nov.,219(1): 12,278,Mannheimer &amp; Mannheimer,"Namibia (Southern Africa, Africa)",,,true,,,,"Karas: Klinghardt Mountains, in basin. Sperrgebiet, (2715BD)",,,,,,,,,,,,,,,,,,,,,,,,2015 [7 Jul 2015],[7 Jul 2015],,[epublished],doi:10.11646/phytotaxa.219.1.1 [english],,,,,,,false,true,holotype WIND;isotype PRE 0838901-0,,,
urn:lsid:ipni.org:names:77148246-1,,H.M.Steyn,Acanthopsis dispermoides,Acanthaceae,,Acanthopsis,,dispermoides,,false,false,spec.,Phytotaxa 219(1): 23. 2015 [7 Jul 2015] [epublished],2015,H.M.Steyn,urn:lsid:ipni.org:publications:20011462-1,H.M.Steyn@20021667-1@1@aut,,,,Phytotaxa,,,tax. nov.,219(1): 23,1560 (PRE 40576),Boucher,"Western Cape Province (Cape Provinces, Southern Africa, Africa)",,,true,,,,"Little Karoo. Eastern foothills of Warmwaterberg. Lot 2, near spring, 600 m, (3320DD)",,,,,,,,,,,,,,,,,,,,,,,,2015 [7 Jul 2015],[7 Jul 2015],,[epublished],doi:10.11646/phytotaxa.219.1.1 [english],,,,,,,false,true,holotype PRE 0129553-0;isotype NBG 0274662-0,,,
urn:lsid:ipni.org:names:77148243-1,,H.M.Steyn,Acanthopsis ludoviciana,Acanthaceae,,Acanthopsis,,ludoviciana,,false,false,spec.,Phytotaxa 219(1): 10. 2015 [7 Jul 2015] [epublished],2015,H.M.Steyn,urn:lsid:ipni.org:publications:20011462-1,H.M.Steyn@20021667-1@1@aut,,,,Phytotaxa,,,tax. nov.,219(1): 10,4370,Koekemoer,"Northern Cape Province (Cape Provinces, Southern Africa, Africa)",,,true,,,,"Richtersveld National Park, Helskloof Pass, 514 m, (2816BD)",,,,,,,,,,,,,,,,,,,,,,,,2015 [7 Jul 2015],[7 Jul 2015],,[epublished],doi:10.11646/phytotaxa.219.1.1 [english],,,,,,,false,true,holotype PRE 0861488-0;isotype KMG;isotype NBG,,,
urn:lsid:ipni.org:names:77148242-1,,H.M.Steyn,Acanthopsis tuba,Acanthaceae,,Acanthopsis,,tuba,,false,false,spec.,Phytotaxa 219(1): 8. 2015 [7 Jul 2015] [epublished],2015,H.M.Steyn,urn:lsid:ipni.org:publications:20011462-1,H.M.Steyn@20021667-1@1@aut,,,,Phytotaxa,,,tax. nov.,219(1): 8,12222,Marloth,"Northern Cape Province (Cape Provinces, Southern Africa, Africa)",,,true,,,,"Little Namaqualand, Steinkopf District. Flats at Anenous, 530 m",,,,,,,,,,,,,,,,,,,,,,,,2015 [7 Jul 2015],[7 Jul 2015],,[epublished],doi:10.11646/phytotaxa.219.1.1,,,,,,,false,true,holotype PRE 0129530-0;isotype PRE 0863286-0;isotype NBG 0274649-0,,,
urn:lsid:ipni.org:names:77148245-1,,H.M.Steyn,Acanthopsis villosa,Acanthaceae,,Acanthopsis,,villosa,,false,false,spec.,Phytotaxa 219(1): 14. 2015 [7 Jul 2015] [epublished],2015,H.M.Steyn,urn:lsid:ipni.org:publications:20011462-1,H.M.Steyn@20021667-1@1@aut,,,,Phytotaxa,,,tax. nov.,219(1): 14,4398,Koekemoer,"Northern Cape Province (Cape Provinces, Southern Africa, Africa)",,,true,,,,"Namaqualand District. Boesmanplaat, along a turn-off to the west of the road between Gamoep and Platbakkies, 908 m, (3018AB)",,,,,,,,,,,,,,,,,,,,,,,,2015 [7 Jul 2015],[7 Jul 2015],,[epublished],doi:10.11646/phytotaxa.219.1.1 [english],,,,,,,false,true,holotype PRE 0863486-0;isotype NBG,,,
