id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:77080276-1,,Vollesen,Acanthus austromontanus,Acanthaceae,,Acanthus,,austromontanus,,false,false,spec.,"Kew Bull. 62(2): 236 (fig. 1, map 2). 2007 [24 Jul 2007]",2007,Vollesen,urn:lsid:ipni.org:publications:987-2,Vollesen@11256-1@1@aut,,,,Kew Bull.,,,tax. nov.,"62(2): 236 (fig. 1, map 2)",7161,Leedal,"Tanzania (East Tropical Africa, Africa)",,,true,,,,Sunzi Mission,,,,,,,,,,,,,,,,,,,,,,,,2007 [24 Jul 2007],[24 Jul 2007],,,,,,,,,,false,true,holotype K;isotype DSM;isotype K,,,
urn:lsid:ipni.org:names:77080278-1,,Vollesen,Acanthus kulalensis,Acanthaceae,,Acanthus,,kulalensis,,false,false,spec.,"Kew Bull. 62(2): 239 (-241; fig. 2, map 1). 2007 [24 Jul 2007]",2007,Vollesen,urn:lsid:ipni.org:publications:987-2,Vollesen@11256-1@1@aut,,,,Kew Bull.,,,tax. nov.,"62(2): 239 (-241; fig. 2, map 1)",10818,W.R.Q. &amp; P.A. Luke,"Kenya (East Tropical Africa, Africa)",,,true,,,,"Marsabit Distr., Mt Kulal",,,,,,,,,,,,,,,,,,,,,,,,2007 [24 Jul 2007],[24 Jul 2007],,,,,,,,,,false,true,holotype K;isotype BR;isotype CAS;isotype EA;isotype K,,,
urn:lsid:ipni.org:names:77086735-1,,"T.F.Daniel, Mbola, Almeda & Phillipson",Anisotes divaricatus,Acanthaceae,,Anisotes,,divaricatus,,false,false,spec.,"Proc. Calif. Acad. Sci. ser. 4, 58(8): 127 (-130; figs. 1, 3, 4, map). 2007 [11 May 2007]",2007,"T.F.Daniel, Mbola, Almeda & Phillipson",urn:lsid:ipni.org:publications:1045-2,"Almeda@160-1@3@aut, T.F.Daniel@12125-1@1@aut, Mbola@20012476-1@2@aut, Phillipson@24823-1@4@aut",,,,Proc. Calif. Acad. Sci.,,,tax. nov.,"ser. 4, 58(8): 127 (-130; figs. 1, 3, 4, map)",3721,P.Phillipson et al.,"Madagascar (Western Indian Ocean, Africa)",,,true,24,4,,"Toliara: Réserve du Lac Tsimanampetsotsa (No. 10), NW corner of reserve, 50m",43,46,,E,S,,,,,,,,,,,,,,,,,,,2007 [11 May 2007],[11 May 2007],,,,,,,,,,false,true,holotype CAS;isotype MO;isotype P;isotype TAN,,,
urn:lsid:ipni.org:names:77080761-1,,Wassh.,Aphelandra encarnacionii,Acanthaceae,,Aphelandra,,encarnacionii,,false,false,spec.,"Ann. Naturhist. Mus. Wien, B 108: 168 (-169; fig. 1). 2007 [May 2007]",2007,Wassh.,urn:lsid:ipni.org:publications:406-2,Wassh.@11421-1@1@aut,,,,"Ann. Naturhist. Mus. Wien, B",,,tax. nov.,108: 168 (-169; fig. 1),1175,F.Encarnación,"Peru (Western South America, Southern America)",,,true,,,,"Dept. Madre de Dios, Prov. Tahuamanu, 4km S of Iberia on road to Miraflores, along left bank of the Río Tahuamanu",,,,,,,,,,,,,,,,,,,,,,,,2007 [May 2007],[May 2007],,,,,,,,,,false,true,holotype US;isotype USM,,,
urn:lsid:ipni.org:names:77080970-1,,"Knees, A.G.Mill. & A.Patzelt",Barleria samhanensis,Acanthaceae,,Barleria,,samhanensis,,false,false,spec.,Edinburgh J. Bot. 64(1): 107 (-112; fig. 1). 2007 [12 Mar 2007],2007,"Knees, A.G.Mill. & A.Patzelt",urn:lsid:ipni.org:publications:12129-2,"Knees@20010096-1@1@aut, A.G.Mill.@13678-1@2@aut, A.Patzelt@20010097-1@3@aut",,,,Edinburgh J. Bot.,,,tax. nov.,64(1): 107 (-112; fig. 1),2688,"A.Patzelt, I.Edwards, S.G.Knees, S.Laser, A.G.Miller, L.Morris &amp; D.Rae","Oman (Arabian Peninsula, Asia-Temperate)",,,true,17,9,,"Jabal Samhan, 1404m",54,45,,E,N,,,,,,,,,,,,,,,,,,,2007 [12 Mar 2007],[12 Mar 2007],,,,,,,,,,false,true,holotype ON;isotype E;isotype K;isotype Sultan Qaboos University,,,
urn:lsid:ipni.org:names:77078085-1,,Thulin,Crabbea albolutea,Acanthaceae,,Crabbea,,albolutea,,false,false,spec.,"Nordic J. Bot. 24(5): 505 (504; fig. 1, H-N). 2007 [14 Feb 2007]",2007,Thulin,urn:lsid:ipni.org:publications:2633-2,Thulin@10645-1@1@aut,,,,Nordic J. Bot.,,,tax. nov.,"24(5): 505 (504; fig. 1, H-N)",22350,"Gillett, Hemming &amp; Watson","Somalia (Northeast Tropical Africa, Africa)",,,true,6,26,,"Mudug Region, 89 km SW of Galkayo, 3 km NE of Galinsoor",46,45,,E,N,,,,,,,,,,,,,,,,,,,2007 [14 Feb 2007],[14 Feb 2007],,,,,,,,,,false,true,holotype K,,,
urn:lsid:ipni.org:names:77078082-1,,(Chiov.) Thulin,Crabbea migiurtina,Acanthaceae,,Crabbea,,migiurtina,,false,false,spec.,Nordic J. Bot. 24(5): 502. 2007 [14 Feb 2007],2007,Thulin,urn:lsid:ipni.org:publications:2633-2,"Chiov.@1600-1@2@bas, Thulin@10645-1@1@aut",,,,Nordic J. Bot.,,,comb. nov.,24(5): 502,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 [14 Feb 2007],[14 Feb 2007],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77078084-1,,Thulin,Crabbea pinnatifida,Acanthaceae,,Crabbea,,pinnatifida,,false,false,spec.,"Nordic J. Bot. 24(5): 503 (-505; fig. 1, A-G). 2007 [14 Feb 2007]",2007,Thulin,urn:lsid:ipni.org:publications:2633-2,Thulin@10645-1@1@aut,,,,Nordic J. Bot.,,,tax. nov.,"24(5): 503 (-505; fig. 1, A-G)",10531,"Thulin, Abdi Dahir, Abdulkadir Khalid &amp; Ahmed Osman","Somalia (Northeast Tropical Africa, Africa)",,,true,7,54,,"Nugaal Region, 33 km on track from Dhanaane to Eyl",49,37,,E,N,,,,,,,,,,,,,,,,,,,2007 [14 Feb 2007],[14 Feb 2007],,,,,,,,,,false,true,holotype UPS,,,
urn:lsid:ipni.org:names:77078083-1,,(Chiov.) Thulin,Crabbea thymifolia,Acanthaceae,,Crabbea,,thymifolia,,false,false,spec.,Nordic J. Bot. 24(5): 503. 2007 [14 Feb 2007],2007,Thulin,urn:lsid:ipni.org:publications:2633-2,"Thulin@10645-1@1@aut, Chiov.@1600-1@2@bas",,,,Nordic J. Bot.,,,comb. nov.,24(5): 503,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 [14 Feb 2007],[14 Feb 2007],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77079554-1,,I.Darbysh.,Dicliptera brevispicata,Acanthaceae,,Dicliptera,,brevispicata,,false,false,spec.,Kew Bull. 62(1): 123 (-126; fig. 1). 2007 [12 May 2007],2007,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,62(1): 123 (-126; fig. 1),3798,"Goyder, Griffiths, Harvey, Kamwela &amp; Paton","Tanzania (East Tropical Africa, Africa);Zambia (South Tropical Africa, Africa);",,,true,,,,2km NW of Kalaela on Matai-Mwimbi road,,,,,,,,,,,,,,,,,,,,,,,,2007 [12 May 2007],[12 May 2007],,,,,,,,,,false,true,holotype K;isotype C;isotype CAS;isotype DSM;isotype EA;isotype WAG,,,
urn:lsid:ipni.org:names:77079552-1,,(K.Balkwill) I.Darbysh.,Dicliptera decorticans,Acanthaceae,,Dicliptera,,decorticans,,false,false,spec.,Kew Bull. 62(1): 123. 2007 [12 May 2007],2007,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,"I.Darbysh.@20004449-2@1@aut, K.Balkwill@31254-1@2@bas",,,,Kew Bull.,,,comb. nov.,62(1): 123,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 [12 May 2007],[12 May 2007],,,,,,,,,,false,true,,,,
