id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:77115525-1,,(Benth.) Q.H.Chen,Justicia chinensis,Acanthaceae,,Justicia,,chinensis,,false,false,spec.,Guizhou Sci. 19(2): 58. 2001 [Jun 2001],2001,Q.H.Chen,urn:lsid:ipni.org:publications:20013445-1,"Benth.@15956-1@2@bas, Q.H.Chen@15095-1@1@aut",,,,Guizhou Sci.,,,comb. nov.,19(2): 58,,,,,,true,,,,,,,,,,nom. illeg. later homonym,,,nom. illeg.,,,,,,,,,,,,,,,2001 [Jun 2001],[Jun 2001],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77115523-1,,Q.H.Chen,Leptostachya repanda,Acanthaceae,,Leptostachya,,repanda,,false,false,spec.,Guizhou Sci. 19(2): 54 (-56; fig.1). 2001 [Jun 2001],2001,Q.H.Chen,urn:lsid:ipni.org:publications:20013445-1,Q.H.Chen@15095-1@1@aut,,,,Guizhou Sci.,,,tax. nov.,19(2): 54 (-56; fig.1),456.501,Chen Qianhai et al.,"Guizhou (China South-Central, China, Asia-Temperate)",,,false,,,,"Chishui, Jinshagou",,,,,,,,,,,,,,,,,,,,,,,,2001 [Jun 2001],[Jun 2001],,,,,,,,,,false,true,holotype HGAS,,,
urn:lsid:ipni.org:names:20004093-1,,K.Balkwill & Campb.-Young,Peristrophe serpenticola,Acanthaceae,,Peristrophe,,serpenticola,,false,false,spec.,S. African J. Sci. 97(11-12): 551 (2001).,2001,K.Balkwill & Campb.-Young,urn:lsid:ipni.org:publications:2939-2,"K.Balkwill@31254-1@1@aut, Campb.-Young@39620-1@2@aut",,,,S. African J. Sci.,,,tax. nov.,97(11-12): 551 (2001),10544,Balkwill; Cron; Coates Palgrave,Zimbabwe,,,true,,,,"northwest of Harare, on the Great Dyke, Vanad Pass",,,,,,,,,,,,,,,,,,,,,,,,2001,,,,,,,,,,,false,true,holotype J;isotype B;isotype C;isotype E;isotype K;isotype M;isotype MO;isotype NU;isotype PRE;isotype RSA;isotype SRGH,,,
urn:lsid:ipni.org:names:327117-2,,Llamozas,Ruellia carmenaemiliae,Acanthaceae,,Ruellia,,carmenaemiliae,,false,false,spec.,Acta Bot. Venez. 24(2): 75 (-78; fig. 1). 2001 [2003?],2001,Llamozas,urn:lsid:ipni.org:publications:1342-2,Llamozas@20000007-1@0@aut,,,,Acta Bot. Venez.,,,tax. nov.,24(2): 75 (-78; fig. 1),4007,"A.Cardozo L., T.Ruiz Z.,C.E.Benítez de Rojas","Distr. Puerto Cabello, Entrando por el caserío Las Tablas, entre el Cambur y peaje de Puerto Cabello, alrededores de la Torre 14B de CADAFE, cerca de Quebrada Cacao Grande, en el Cerro de Cor, Carabobo (Venezuela, Northern South America, Southern America)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 [2003?],[2003?],,,specific epithet honors: Carmen Emilia Benítez de Rojas,,,,,,,false,true,holotype MY,,,
urn:lsid:ipni.org:names:60432214-2,,Hemaid,Ruellia jeddahica,Acanthaceae,,Ruellia,,jeddahica,,false,false,spec.,Bangladesh J. Pl. Taxon. 8(2): 84 (83-86; fig.) (2001).,2001,Hemaid,urn:lsid:ipni.org:publications:20001392-2,Hemaid@37439-1@1@aut,,,,Bangladesh J. Pl. Taxon.,,,tax. nov.,8(2): 84 (83-86; fig.) (2001),1420,Collenette,"Saudi Arabia (Arabian Peninsula, Asia-Temperate)",,,true,,,,10km NE of Jeddah,,,,,,,,,,,,,,,,,,,,,,,,2001,,,,,,,,,,,false,true,holotype K,,,
urn:lsid:ipni.org:names:327118-2,,Llamozas,Ruellia saeri,Acanthaceae,,Ruellia,,saeri,,false,false,spec.,Acta Bot. Venez. 24(2): 78 (-80; fig. 2). 2001 [2003?],2001,Llamozas,urn:lsid:ipni.org:publications:1342-2,Llamozas@20000007-1@0@aut,,,,Acta Bot. Venez.,,,tax. nov.,24(2): 78 (-80; fig. 2),485,J.Saer d'Heguert,"Sanare, 1358 m, Lara (Venezuela, Northern South America, Southern America)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 [2003?],[2003?],,,,,,,,,,false,true,holotype VEN,,,
urn:lsid:ipni.org:names:327119-2,,Llamozas,Ruellia salmeronensis,Acanthaceae,,Ruellia,,salmeronensis,,false,false,spec.,Acta Bot. Venez. 24(2): 80 (-83; fig. 3). 2001 [2003?],2001,Llamozas,urn:lsid:ipni.org:publications:1342-2,Llamozas@20000007-1@0@aut,,,,Acta Bot. Venez.,,,tax. nov.,24(2): 80 (-83; fig. 3),181,"S.Llamozas S., A.M.Guevara","Río Salmerón, Laderos boscosas entre desembocadura de la Quebrada de Bagres y Las Tapas, 10°28'24N, 66°21'8E, 250-350 m, Miranda (Venezuela, Northern South America, Southern America)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 [2003?],[2003?],,,,,,,,,,false,true,holotype VEN;isotype MER;isotype MY;isotype PORT,,,
urn:lsid:ipni.org:names:322964-2,,Wassh. & J.R.I.Wood,Stenostephanus spicatus,Acanthaceae,,Stenostephanus,,spicatus,,false,false,spec.,Harvard Pap. Bot. 6(2): 450 (figs. 1A-E; 2A). 2001 [Dec 2001],2001,Wassh. & J.R.I.Wood,urn:lsid:ipni.org:publications:10651-2,"Wassh.@11421-1@0@aut, J.R.I.Wood@12313-1@1@aut",,,,Harvard Pap. Bot.,,,tax. nov.,6(2): 450 (figs. 1A-E; 2A),12408,J.R.I.Wood,"Tiraque, on old Cachabamba road from the Chaparé, above El Palmar, 1200 m, Bolivia (Western South America, Southern America)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 [Dec 2001],[Dec 2001],,,[Gandhi 16 Apr 2002],,,,,,,false,true,holotype K;isotype LPB;isotype US,,,
urn:lsid:ipni.org:names:1067816-2,,(Lindau) Wassh. & J.R.I.Wood,Stenostephanus sprucei,Acanthaceae,,Stenostephanus,,sprucei,,false,false,spec.,Harvard Pap. Bot. 6(2): 449. 2001 [Dec 2001],2001,Wassh. & J.R.I.Wood,urn:lsid:ipni.org:publications:10651-2,"Wassh.@11421-1@0@aut, Lindau@22365-1@2@bas, J.R.I.Wood@12313-1@1@aut",,,,Harvard Pap. Bot.,,,unknown,6(2): 449,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 [Dec 2001],[Dec 2001],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:322965-2,,Wassh. & J.R.I.Wood,Stenostephanus tenellus,Acanthaceae,,Stenostephanus,,tenellus,,false,false,spec.,"Harvard Pap. Bot. 6(2): 450 (-452; figs. 1F-J, 2B). 2001 [Dec 2001]",2001,Wassh. & J.R.I.Wood,urn:lsid:ipni.org:publications:10651-2,"J.R.I.Wood@12313-1@1@aut, Wassh.@11421-1@0@aut",,,,Harvard Pap. Bot.,,,tax. nov.,"6(2): 450 (-452; figs. 1F-J, 2B)",16101,J.R.I.Wood,"Ichilo, by track from Río Yapacaní to Campamiento Mataratú, Amboró Park, 400 m, Santa Cruz (Bolivia, Western South America, Southern America)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 [Dec 2001],[Dec 2001],,,[Gandhi 16 Apr 2002],,,,,,,false,true,holotype K;isotype LPB;isotype US,,,
