id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:77092225-1,,Vollesen,Acanthopale macrocarpa,Acanthaceae,,Acanthopale,,macrocarpa,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 1) 218 (-219). 2008",2008,Vollesen,urn:lsid:ipni.org:publications:20009592-1,Vollesen@11256-1@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 1)",,,tax. nov.,218 (-219),4772,Drummond &amp; Hemsley,"Kenya (East Tropical Africa, Africa);Uganda (East Tropical Africa, Africa);",,,true,,,,N Kavirondo District: Kakamega Forest,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,false,true,holotype K;isotype EA;isotype K,,,
urn:lsid:ipni.org:names:77092371-1,,I.Darbysh.,Barleria aenea,Acanthaceae,,Barleria,,aenea,,false,false,spec.,Kew Bull. 63(2): 264 (-267; figs. 3-4). 2008 [30 Sep 2008],2008,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,63(2): 264 (-267; figs. 3-4),2655,"Bidgood, Mbago &amp; Vollesen","Tanzania (East Tropical Africa, Africa);Zambia (South Tropical Africa, Africa);",,,true,,,,45km on Namanyere - Karonga road,,,,,,,,,,,,,,,,,,,,,,,,2008 [30 Sep 2008],[30 Sep 2008],,,,,,,,,,false,true,holotype K;isotype BR;isotype C;isotype CAS;isotype DSM;isotype EA;isotype K;isotype NHT,,,
urn:lsid:ipni.org:names:77092370-1,,I.Darbysh.,Barleria aristata,Acanthaceae,,Barleria,,aristata,,false,false,spec.,Kew Bull. 63(2): 261 (-264; figs. 1-2). 2008 [30 Sep 2008],2008,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,63(2): 261 (-264; figs. 1-2),5027,"Bidgood, Darbyshire, Hoenselaar, Leliyo, Sanchez-Ken &amp; Vollesen","Tanzania (East Tropical Africa, Africa)",,,true,,,,17km on Kitonga - Morogoro road,,,,,,,,,,,,,,,,,,,,,,,,2008 [30 Sep 2008],[30 Sep 2008],,,,,,,,,,false,true,holotype K;isotype BR;isotype CAS;isotype DSM;isotype EA;isotype MO;isotype NHT,,,
urn:lsid:ipni.org:names:77092372-1,,I.Darbysh.,Barleria purpureotincta,Acanthaceae,,Barleria,,purpureotincta,,false,false,spec.,Kew Bull. 63(2): 267 (-268; fig. 3). 2008 [30 Sep 2008],2008,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,63(2): 267 (-268; fig. 3),6211,Fanshawe,"Zambia (South Tropical Africa, Africa)",,,true,,,,Machili,,,,,,,,,,,,,,,,,,,,,,,,2008 [30 Sep 2008],[30 Sep 2008],,,,,,,,,,false,true,holotype K;isotype NDO,,,
urn:lsid:ipni.org:names:77092216-1,,Vollesen,Brillantaisia richardsiae,Acanthaceae,,Brillantaisia,,richardsiae,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 1) 161. 2008",2008,Vollesen,urn:lsid:ipni.org:publications:20009592-1,Vollesen@11256-1@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 1)",,,tax. nov.,161,12983,Richards,"Tanzania (East Tropical Africa, Africa)",,,true,,,,"Ufipa District: Sumbawanga, Nsanga Forest",,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,false,true,holotype K;isotype K,,,
urn:lsid:ipni.org:names:77092222-1,,Vollesen,Dyschoriste kitongaensis,Acanthaceae,,Dyschoriste,,kitongaensis,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 1) 199 (-200). 2008",2008,Vollesen,urn:lsid:ipni.org:publications:20009592-1,Vollesen@11256-1@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 1)",,,tax. nov.,199 (-200),2211,"Bidgood, Congdon &amp; Vollesen","Tanzania (East Tropical Africa, Africa)",,,true,,,,Iringa District: Kitonga Gorge,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,false,true,holotype K;isotype C;isotype CAS;isotype DSM;isotype EA;isotype K;isotype MO;isotype NHT;isotype UPS,,,
urn:lsid:ipni.org:names:77092221-1,,Vollesen,Dyschoriste sallyae,Acanthaceae,,Dyschoriste,,sallyae,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 1) 196 (-197). 2008",2008,Vollesen,urn:lsid:ipni.org:publications:20009592-1,Vollesen@11256-1@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 1)",,,tax. nov.,196 (-197),3877,Bidgood et al.,"Tanzania (East Tropical Africa, Africa)",,,true,,,,Mpanda District: Chala-Mpanda road,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,false,true,holotype K;isotype BR;isotype C;isotype CAS;isotype DSM;isotype EA;isotype K;isotype NHT;isotype P,,,
urn:lsid:ipni.org:names:77092219-1,,Vollesen,Dyschoriste tanzaniensis,Acanthaceae,,Dyschoriste,,tanzaniensis,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 1) 189 (-190). 2008",2008,Vollesen,urn:lsid:ipni.org:publications:20009592-1,Vollesen@11256-1@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 1)",,,tax. nov.,189 (-190),5880,Bidgood et al.,"Tanzania (East Tropical Africa, Africa)",,,true,,,,Tabora District: 22km on Tabora-Sikonge road,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,false,true,holotype K;isotype BR;isotype CAS;isotype DSM;isotype K;isotype NHT,,,
urn:lsid:ipni.org:names:77092226-1,,Vollesen,Epiclastopelma marroninum,Acanthaceae,,Epiclastopelma,,marroninum,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 1) 232. 2008",2008,Vollesen,urn:lsid:ipni.org:publications:20009592-1,Vollesen@11256-1@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 1)",,,tax. nov.,232,7883,Luke et al.,"Tanzania (East Tropical Africa, Africa)",,,true,,,,Iringa District: Udzungwa Mts National Park,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,as marroninus,,,,,,,false,true,holotype EA;isotype K,,,
urn:lsid:ipni.org:names:77092217-1,,Vollesen,Hygrophila albobracteata,Acanthaceae,,Hygrophila,,albobracteata,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 1) 173 (-174). 2008",2008,Vollesen,urn:lsid:ipni.org:publications:20009592-1,Vollesen@11256-1@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 1)",,,tax. nov.,173 (-174),25862,Richards,"Tanzania (East Tropical Africa, Africa)",,,true,,,,"Mpanda District: Kapapa, Msaginya River",,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,false,true,holotype K;isotype EA;isotype WAG,,,
