id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:319375-2,,Durkee,Anisacanthus nicaraguensis,Acanthaceae,,Anisacanthus,,nicaraguensis,,false,false,spec.,"Novon 9(4): 503 (-505, figs. 1, 6a). 1999 [30 Dec 1999]",1999,Durkee,urn:lsid:ipni.org:publications:14256-2,Durkee@18299-1@0@aut,,,641235,Novon,,,tax. nov.,"9(4): 503 (-505, figs. 1, 6a)",25325,P.P.Moreno,"Kukamonga, 18.5 m N of Esteli, 13°14'N, 86°21'W, ca. 850 m, Esteli (Nicaragua, Central America, Southern America)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 [30 Dec 1999],[30 Dec 1999],,,[Gandhi 15 Feb 2000],,,,,,,false,true,holotype MO;isotype CAS,,,
urn:lsid:ipni.org:names:1009750-1,,(Nees) Govaerts,Chlamydacanthus rupestris,Acanthaceae,,Chlamydacanthus,,rupestris,,false,false,spec.,World Checkl. Seed Pl. 3(1): 14 (1999):.,1999,Govaerts,urn:lsid:ipni.org:publications:17755-2,"Nees@6888-1@1@bas, Govaerts@36710-1@2@aut",,,,World Checkl. Seed Pl.,,,comb. nov.,3(1): 14 (1999):,,,,,,true,,,,,,,,,,,,,,,Aetheilema rupestre.,(Nees),,,,,,,,,,,,1999,1999,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:1008155-1,,(Nees) Vollesen,Cynarospermum asperrimum,Acanthaceae,,Cynarospermum,,asperrimum,,false,false,spec.,Kew Bull. 54(1): 172. 1999 [2 Jun 1999],1999,Vollesen,urn:lsid:ipni.org:publications:987-2,"Nees@6888-1@1@bas, Vollesen@11256-1@2@aut",,,,Kew Bull.,,,comb. nov.,54(1): 172,,,,,,true,,,,,,,,,,,,,,,Blepharis asperrima.,(Nees),,,,,,,,,,,,1999 [2 Jun 1999],[2 Jun 1999],,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:1007456-1,,Lejoly & Lisowski,Dischistocalyx champluvierianus,Acanthaceae,,Dischistocalyx,,champluvierianus,,false,false,spec.,Bull. Jard. Bot. Natl. Belg. 67(1-4): 107. 1999,1999,Lejoly & Lisowski,urn:lsid:ipni.org:publications:1235-2,"Lejoly@22222-1@1@aut, Lisowski@5654-1@2@aut",,,,Bull. Jard. Bot. Natl. Belg.,,,tax. nov.,67(1-4): 107,M-1242,Lisowski,Equatorial Guinea.,,,true,,,,"Estuaire du Rio Muni, village Mayang, au bord de la rivière Mitong",,,,,,,,,,,,,,,,,,Equatorial Guinea.,,,,,,1999,1999,,,,,,,,,,false,true,"holotype Herbarium, Université Libre de Bruxelles;isotype POZG;isotype Herbarium, Nationale Plantentuin van België;isotype Herbarium, Royal Botanic Gardens;isotype herb. du projet Curef à Bata",,,
urn:lsid:ipni.org:names:1014799-1,,(Leonard) Wassh.,Encephalosphaera puberula,Acanthaceae,,Encephalosphaera,,puberula,,false,false,spec.,Monogr. Syst. Bot. Missouri Bot. Gard. 75: 953. 1999 [30 Jul 1999] ; Cat. Vasc. Pl. Ecuador,1999,Wassh.,urn:lsid:ipni.org:publications:1340-2,"Wassh.@11421-1@2@aut, Leonard@5480-1@1@bas",,,,Monogr. Syst. Bot. Missouri Bot. Gard.,,,comb. nov.,75: 953,,,,,,true,,,,,,,,,,,,,,,Aphelandra puberula.,(Leonard),,,,,,,,,,,,1999 [30 Jul 1999],[30 Jul 1999],,; Cat. Vasc. Pl. Ecuador,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:60466231-2,,H.P.Tsui,Goldfussia grandissima,Acanthaceae,,Goldfussia,,grandissima,,false,false,spec.,Cat. Type Spec. China Suppl. 27. 1999,1999,H.P.Tsui,urn:lsid:ipni.org:publications:20012011-1,H.P.Tsui@13819-1@1@aut,,,,Cat. Type Spec. China Suppl.,,,tax. nov.,27,19329,T.T. Yü,China (Asia-Temperate),,,false,,,,"Yunnan: Gongshan,",,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,,,,,,,false,true,holotype PE;isotype KUN,,,
urn:lsid:ipni.org:names:1009491-1,,Ensermu,Justicia bizuneshiae,Acanthaceae,,Justicia,,bizuneshiae,,false,false,spec.,Kew Bull. 54(2): 445. 1999 [20 Sep 1999],1999,Ensermu,urn:lsid:ipni.org:publications:987-2,Ensermu@14302-1@1@aut,,,,Kew Bull.,,,tax. nov.,54(2): 445,2659,Ensermu Kelbessa,Ethiopia.,,,true,,,,"Sidamo, Magada forest, 86km N of Yabello on the road to Agere Mariam and Addis Ababa, 05 22 N, 38 17 E",,,,,,,,,,,,,,,,,,Ethiopia.,,,,,,1999 [20 Sep 1999],[20 Sep 1999],,,,,,,,,,false,true,"holotype ETH;isotype Herbarium, Universität Wien;isotype Herbarium, Royal Botanic Gardens",,,
urn:lsid:ipni.org:names:319377-2,,Durkee,Justicia cauliflora,Acanthaceae,,Justicia,,cauliflora,,false,false,spec.,"Novon 9(4): 505 (-507, figs. 3, 6B). 1999 [30 Dec 1999]",1999,Durkee,urn:lsid:ipni.org:publications:14256-2,Durkee@18299-1@0@aut,,,641237,Novon,,,tax. nov.,"9(4): 505 (-507, figs. 3, 6B)",4961,"J.A.Kallunki,S.A.Mori","5-10 km NE of Altos de Pacora, ca. 750 m, Panama (Central America, Southern America)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 [30 Dec 1999],[30 Dec 1999],,,[Gandhi 15 Feb 2000],,,,,,,false,true,holotype MO,,,
urn:lsid:ipni.org:names:318843-2,,Wassh.,Justicia chapana,Acanthaceae,,Justicia,,chapana,,false,false,spec.,"Novon 9(3): 450 (-452, figs. 1-2). 1999 [15 Sep 1999]",1999,Wassh.,urn:lsid:ipni.org:publications:14256-2,Wassh.@11421-1@0@aut,,,641182,Novon,,,tax. nov.,"9(3): 450 (-452, figs. 1-2)",111211,"E.Diederichs, C.E.Steyermark,J.A.Steyermark, V.Carreño Espinoza","El Amparo, 7 km N of Salom, 110-1200 m, Yaracuy (Venezuela, Northern South America, Southern America)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 [15 Sep 1999],[15 Sep 1999],,,[Gandhi 12 Oct 1999],,,,,,,false,true,holotype US;isotype VEN,,,
urn:lsid:ipni.org:names:319156-2,,T.F.Daniel,Justicia chimalapensis,Acanthaceae,,Justicia,,chimalapensis,,false,false,spec.,"Proc. Calif. Acad. Sci. ser. 4, 51(15): 486 (-488, figs. 2, 3b). 1999 [9 Dec 1999]",1999,T.F.Daniel,urn:lsid:ipni.org:publications:1045-2,T.F.Daniel@12125-1@0@aut,,,,Proc. Calif. Acad. Sci.,,,tax. nov.,"ser. 4, 51(15): 486 (-488, figs. 2, 3b)",536,E.Torres B.,"Santa Maria Chimalapa, camino hacia Arroyo San Vicente, 990 m, Oaxaca (Mexico, Northern America)",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 [9 Dec 1999],[9 Dec 1999],,,[Gandhi 20 Dec 1999],,,,,,,false,true,holotype CAS,,,
